"State","Spend","StuTeaRat","Salary","PrcntTake","SATV","SATM","SATT","xRand1","xRand2","xRand3","xRand4","xRand5","xRand6","xRand7","xRand8","xRand9","xRand10","xRand11","xRand12"
"Alabama",4.405,17.2,31.144,8,491,538,1029,-0.207901249596102,0.975430480120989,0.697159816561028,-0.461373065858197,-0.372392998380476,-0.586950772872907,0.997584688529188,-0.0389799767630033,-0.0485343959118474,0.822557785830181,-0.21174301427471,-0.0747608567207227
"Alaska",8.963,17.6,47.951,47,445,489,934,0.0378588038985896,-0.263789063308154,-1.29295161410892,-0.467127187496556,0.837334331564439,-0.171515556336564,0.234234028296106,0.0326226875138148,-0.38419391943069,-0.780150276092794,-1.64403265480375,0.122416187941117
"Arizona",4.778,19.3,32.175,27,448,496,944,-0.824948269629915,-0.352707598361612,-2.00245382836332,0.131457490040587,0.228556166403639,0.426742360768,-0.00773336440060003,-0.618603207265274,-0.329468627550609,-1.16919019077496,-1.0909205697216,0.338399049979964
"Arkansas",4.459,17.1,28.934,6,482,523,1005,-0.302171846918217,-1.62339851256178,1.34038036621036,0.810939368606006,-0.237944901200319,1.28110279168692,-1.89779992686501,-0.0543988087706234,2.26259356804392,1.76455473812687,0.189463865114513,0.780979593833668
"California",4.992,24,41.078,45,417,485,902,0.211716804102816,0.459005470259833,-0.325939039082781,0.213266522969882,-0.683693045898031,1.28604942561016,-0.550715270243657,0.611201198675577,0.28236716760614,-0.157777006085146,0.362889067146544,-0.418922162463634
"Colorado",5.443,18.4,34.571,29,462,518,980,-2.16403229182597,-0.0143931578121054,-0.780375435972604,-2.07030532315957,1.27426257878373,0.0655092358933079,-0.955373711197829,0.364988894684848,-0.34564929807671,-1.83430238952138,-0.47964974404003,-0.656140384720993
"Connecticut",8.817,14.4,50.045,81,431,477,908,0.745800297539066,-2.08712788592056,1.09607138242938,-1.0820958410687,-0.974589893357658,-0.974402288768164,0.464208998558999,0.123024408690415,-0.165820477214172,-0.466947066255252,0.254544618147036,-1.70239178581694
"Delaware",7.03,16.6,39.076,68,429,468,897,0.00626469413011371,-0.483986585897078,-0.936947323036859,0.680931271317089,1.29990823532695,0.851610729820617,-0.493717502424083,-1.41282018845252,-0.56502493086743,-0.372197817652579,0.057960123513904,-0.0111537299356255
"Florida",5.718,19.1,32.588,48,420,469,889,-0.41341403219141,0.0648330854527052,-0.153562260866496,0.639464507371617,-0.899340796396393,-0.939953831105144,-0.252611027023544,0.407849741850969,-0.36152766049454,1.21453166661767,-1.17465993958882,0.228524423318145
"Georgia",5.193,16.3,32.291,65,406,448,854,-0.165524829699678,-0.819735420781837,0.854629510642926,1.26669280361573,-0.946530916842301,-0.345881770653118,0.455028431847071,0.666574688041714,-0.438941782074635,0.704853378337489,-0.882848902515975,-0.380649102299625
"Hawaii",6.078,17.9,38.518,57,407,482,889,-0.886377749215094,-0.446024489252827,-1.12077727288302,-0.841605487606401,-1.53774650707527,-0.689179671661657,-2.26863462788249,0.0627154116196178,1.13499356907614,-1.00192889402175,-0.688067493925912,-1.13847250709999
"Idaho",4.21,19.1,29.783,15,468,511,979,-0.722173878552729,0.132701767610177,-1.19630498339562,1.18068553157588,1.82055712074058,-0.31980338610543,-0.312165277318732,-0.70268013203779,2.46250376673165,-0.78054834343807,-0.406852214409507,2.10549560230646
"Illinois",6.136,17.3,39.431,13,488,560,1048,-1.53484220946147,-0.291107862048326,0.277769920344309,0.0198505131739589,0.327587936446218,2.05183667725739,-0.713724778280131,1.44053864324395,0.204098097339667,-1.58771922784258,-0.510829806249378,0.360535035975433
"Indiana",5.826,17.5,36.785,58,415,467,882,-0.952635971726129,0.955235617226803,2.80112502548017,2.69622982998652,0.415211923775626,-0.309144111214149,0.713975575096239,-1.5435961093533,0.186502387519131,0.157563611185141,0.524717744743532,-2.84450614927439
"Iowa",5.483,15.8,31.511,5,516,583,1099,1.74646870489752,-0.17244685837918,-0.460090727871346,-0.606259752081638,0.9928918058992,-1.11815810889795,1.79740164926355,0.418376253532735,1.723734020044,-0.94153695228363,-1.05004783343331,-0.601990846736391
"Kansas",5.817,15.1,34.652,9,503,557,1060,0.719988552156654,0.69546151795962,1.3309812304238,0.0391261929550525,0.171792626300072,0.923508141566017,-0.706369430379306,-0.271357590515402,-0.269835112441688,-0.667077288719832,-0.859792541666022,-0.604150367667773
"Kentucky",5.217,17,32.257,11,477,522,999,1.13021858134191,0.116497158699144,0.086562092008099,-0.304736566492592,0.588177595099866,-0.775444320599161,-0.0197626062305198,1.63765087732982,-1.15329210290132,2.66419561672059,1.1055014857178,1.00055162381673
"Louisiana",4.761,16.8,26.461,9,486,535,1021,0.220476314224168,0.00453382500761189,-0.114593178436652,0.22451533295134,0.411051663696904,-0.35614499320522,-0.107389108638209,-0.00558772476216918,-0.209961662107915,-0.842829436967105,0.316134745174541,0.436849081275467
"Maine",6.428,13.8,31.972,68,427,469,896,-1.97147435596675,1.22109736980164,-0.123526150281212,-0.833253644925329,0.727948518056803,-0.760284334205973,-0.745598610593384,-1.13598623672466,0.847579077322271,-1.05610076758819,1.4115820628165,0.651405629889334
"Maryland",7.245,17,40.661,64,430,479,909,0.483532645203719,1.87388950399964,-0.78444060567909,1.10504304503544,-0.636564004041134,-0.762566572169179,-0.505482310266721,0.726805307981011,-1.63391951136865,-0.158249232026709,-0.0963540379169244,0.567700722087593
"Massachusetts",7.287,14.8,40.795,80,430,477,907,-0.345194783238613,0.451203096831394,1.18791652754554,0.0718899219161112,2.03228934786461,3.11815827469163,0.0867608483857127,0.75788253082009,0.0130294961571624,-0.716219819471725,0.0645954207892535,-0.738286100259608
"Michigan",6.994,20.1,41.895,11,484,549,1033,-0.637191353596372,0.711344644707731,-0.121040465303115,0.652619630647887,1.54721895341095,0.0576138651735124,-0.490810363118992,0.645204280552236,1.30718376499844,0.109095320060633,0.91588033220841,0.487472339626039
"Minnesota",6,17.5,35.948,9,506,579,1085,-0.879624606210298,-1.04691591700141,-0.663019739328688,1.56380237276888,1.01902126867384,-1.77546423061014,0.660289709761776,-1.89590746198485,0.456447281041472,-1.26204418269453,-0.220977846886805,0.297119555424054
"Mississippi",4.08,17.5,26.818,4,496,540,1036,-0.397764719767482,-1.64687812244781,0.346407253775592,1.06415883448513,-0.993337268306728,-0.128265460697721,-1.66345415782072,-0.258016765971803,0.278732199821201,-0.55525934101406,1.49094832032774,1.34664911423111
"Missouri",5.383,15.5,31.189,9,495,550,1045,-0.524585969562749,-1.1838395668607,0.0661120778339063,1.38082916578197,0.547584651354403,-0.282559040812746,1.60565675511535,0.512424765315254,-0.87072740903501,0.978983311458451,0.17163008784681,0.757859479252481
"Montana",5.692,16.3,28.785,21,473,536,1009,-0.00760390222166438,-0.623882024888261,1.28606808802827,-0.22536712094782,-1.62119367300735,0.619915266731891,-0.221323246044337,0.132264635919942,-0.0512562373059726,-1.01360358358478,-0.119457686651287,0.346993949259894
"Nebraska",5.935,14.5,30.922,9,494,556,1050,-0.0216567811610833,-2.23439653925651,1.04766471095533,-0.0706333635876143,0.0414074287965703,-0.92442982881222,-0.185434555934162,-0.757286954331212,-0.459154053985229,-0.550828320875008,-0.144006410398259,1.2857421546551
"Nevada",5.16,18.7,34.836,30,434,483,917,1.31575867719695,0.941928339259397,0.586322346007241,-0.777935938020693,-1.41844036227825,0.18985175582878,0.672837439759842,0.159378808236979,-0.356940755539267,1.35173416878567,-0.0751097724347004,0.121515910179706
"New Hampshire",5.859,15.6,34.72,70,444,491,935,0.535141812501157,0.295152350842061,0.0468077151263067,0.635538962274437,0.724904639998271,-1.00411697207301,0.110834775250619,-0.520645952491159,-1.43485353046215,1.14163555927573,-1.99162051897993,-0.725951943907149
"New Jersey",9.774,13.8,46.087,70,420,478,898,1.0330267717456,-0.441675915957535,-0.0554635287180811,0.0939889141751798,-0.635911707261911,1.05907127597175,-1.09280862496044,0.0293475252667259,1.1139253998778,0.279066183726796,-0.000775907118758485,-1.25154139908902
"New Mexico",4.586,17.2,28.493,11,485,530,1015,1.75955450455022,-0.091783535446752,0.360532533408169,-0.493180402906857,0.815002812000726,-0.224502379094058,-0.386963984108956,0.696180848246822,-0.85168695172523,1.27045660989202,1.03240404791359,0.912564470078736
"New York",9.623,15.2,47.612,74,419,473,892,-1.87871176630809,-1.03925732812261,-1.19334763647419,-1.28832263280784,-0.378334019672068,-0.0977927915372107,-0.828216675988779,0.437257064889723,-1.00222699125239,0.843110947216228,0.541124219772456,-0.763718165981597
"North Carolina",5.077,16.2,30.793,60,411,454,865,-2.09572509550788,1.69063160767171,0.465025908845485,0.218615810559383,0.36498424954597,0.744769515775448,0.367837941917761,0.13262857784869,0.00663077467833923,1.8971601541144,1.1675456741645,-0.372820779655585
"North Dakota",4.775,15.3,26.327,5,515,592,1107,-0.608000602313774,-0.265184695000625,-0.880580559864409,-0.63909812362216,-0.0419784667962332,-0.212612501861063,0.657204032035399,-0.041926303590664,0.948873797826068,-0.969167231471734,0.0160505110496175,-0.241933385967195
"Ohio",6.162,16.6,36.802,23,460,515,975,-0.253179611793995,0.771639403816663,0.0198267050643626,-0.937312556321626,-1.93489376645212,0.565794428294465,0.408246744393215,-1.34053501851092,-0.416081468982992,0.973660357482431,0.122134086921829,-0.676302813467741
"Oklahoma",4.845,15.5,28.172,9,491,536,1027,0.574850011153127,0.243845758984462,0.82952506464306,-1.60762399699506,-1.09676248273738,1.43107517015784,-0.387726169218062,0.485086327495846,-2.51089670742,-1.30209355073515,0.137353027112065,-2.25493293258187
"Oregon",6.436,19.9,38.555,51,448,499,947,0.313558867875762,-0.89031000095137,2.39658173520565,-0.193215039749716,0.618100973286362,0.92592009436727,0.91033535756024,-0.487418278411703,0.400444402141321,-0.208574442117719,1.3122899442258,-1.22649401457062
"Pennsylvania",7.109,17.1,44.51,70,419,461,880,1.5873633675943,-0.52941506001554,-1.42366453724198,0.602391872933898,-0.0302238219484336,0.213696090396915,1.43717296044947,1.38078017210277,-0.87671145106125,-0.351996070322051,-0.838903027607086,0.978637692222749
"Rhode Island",7.469,14.7,40.729,70,425,463,888,-0.203145496248846,-0.490427361582026,0.0235031668214224,-2.27451881311739,-1.69959053654853,-0.783777164377167,0.332864507134239,-0.819059522793498,1.0759503163378,0.592035742910572,1.05315409624854,0.45973346169046
"South Carolina",4.797,16.4,30.279,58,401,443,844,0.254593998474275,-1.38490973531003,-0.866627586856552,-1.1279730077486,0.237498694670538,-2.00071062706261,0.974546703315476,-0.631933277339492,0.316350794022776,0.864592294285791,-0.380260738305971,-0.00426862366548247
"South Dakota",4.775,14.4,25.994,5,505,563,1068,1.90887351489278,0.921257136365102,-1.34193654028867,-0.112145601894107,1.8583521352702,1.20576957517188,-0.574778422248386,2.13632536934317,-0.812871491166229,0.558539020448659,0.245566117417372,0.0898605017089295
"Tennessee",4.388,18.6,32.477,12,497,543,1040,0.341001508890031,1.64876621464142,0.259212127451686,0.20971472684264,0.822912058124836,0.170055306895114,0.689201760382905,-0.415719452081901,-0.262009430471042,-0.700861027048431,1.79476049720321,0.857361823555878
"Texas",5.222,15.7,31.223,47,419,474,893,0.894375923201761,0.874214384403331,-0.235867065639116,0.944964522426017,-0.25486437090685,-0.981866919245795,-1.70707758950835,-0.849555197402493,-0.461472223604369,-0.907148878858291,-0.806322370586259,0.576406317185317
"Utah",3.656,24.3,29.082,4,513,563,1076,-1.27943862625287,-1.22431793260882,0.153541355759563,-1.93642223204569,-1.54155955996001,0.612013352100695,-0.578853371569682,-0.385443007890365,-0.560754902379959,-0.1936678367341,0.362102776268645,1.5066956559596
"Vermont",6.75,13.8,35.406,68,429,472,901,1.33529067760361,0.218261870185517,-0.00312570791163138,0.885952900755649,0.374288280100929,-1.26135590173074,2.59887857992133,2.09994561626458,-0.623851982903128,-0.150787018892164,0.87003591390046,-0.395264434506912
"Virginia",5.327,14.6,33.987,65,428,468,896,0.337893909214285,0.303220683295916,-2.15691780576377,0.0697346522614834,-1.13187607533502,1.44400666968552,-1.07077105692616,1.02667465522561,1.35685136813875,0.0419654069080951,-2.58427544132765,-0.673612741395863
"Washington",5.906,20.2,36.151,48,443,494,937,1.22051258650805,2.10482677500643,0.52913632508868,-0.00625112502739859,0.0175088339079644,-0.930339784629472,1.93684303694596,0.725323229863438,-0.675418692848704,1.40367557195172,1.20675414842281,0.58285823407095
"West Virginia",6.107,14.8,31.944,17,448,484,932,-0.0269591359337826,1.36508720853004,0.0764794998692263,0.806348517245512,0.530368917919529,-0.265527000141509,1.27787763062036,-0.985802171839005,2.24031508099999,0.465761270562123,0.755189767007212,0.0273477860945822
"Wisconsin",6.93,15.9,37.746,9,501,572,1073,0.424163214382025,0.00715529609188512,0.538042678431694,-0.999865447732091,-0.662321590540921,0.64314014597787,0.205604493835651,-3.32348519970137,-0.855098424998301,-0.10448975890983,-2.64149480087604,2.07235659940364
"Wyoming",6.16,14.9,31.285,10,476,525,1001,0.165994391622465,0.600690603002228,-0.469831570593126,1.14786905654037,-0.916632982076338,-0.904459829342928,-0.870130879185207,0.647692018428831,0.369075855857387,0.703567236102302,1.41669057254399,-1.54176676723842
