"Happiness","Assets","Debt"
3,0,0
3,10000,0
3,30000,0
3,40000,0
1,21000,0
3,20000,0
2,20000,0
2,0,0
4,0,0
2,20000,0
3,5000,5000
5,30000,0
3,40000,0
3,5500,0
4,50000,0
3,10000,0
3,15000,0
2,20000,0
4,0,0
3,40000,0
4,30000,0
3,0,0
3,48000,0
3,50000,0
5,1e+05,32000
4,50000,0
3,25000,0
4,1500,0
4,95000,0
4,0,150000
4,21000,0
4,115000,0
4,30000,0
3,1e+05,0
3,15000,0
3,40000,0
4,15000,50000
4,30000,0
3,150000,0
3,30000,0
3,10000,0
3,3e+05,0
4,20000,0
3,10000,0
4,2e+05,0
3,50000,0
4,45000,2000
4,70000,0
3,80000,0
4,10000,0
4,30000,2000
4,43000,0
4,50000,0
2,40000,0
3,18000,1e+05
4,2000,0
2,18000,0
3,30000,0
4,20000,0
3,25000,0
3,30000,0
3,20000,0
2,0,40000
4,0,0
3,40000,0
3,0,0
3,20000,0
4,0,0
2,0,0
3,30000,0
4,0,0
4,20000,0
4,80000,0
3,10000,0
1,7000,0
3,20000,0
3,1e+05,0
4,50000,0
4,50000,0
3,0,0
3,18000,0
3,0,5000
4,20000,0
5,0,0
1,0,0
4,60000,0
2,0,0
3,0,0
5,0,0
2,0,0
4,1e+05,0
3,0,0
2,0,0
4,125000,0
4,50000,0
3,30000,0
4,50000,0
4,0,0
4,0,30000
4,0,0
2,1e+05,0
4,40000,0
1,0,60000
3,15000,0
3,30000,0
3,70000,0
3,20000,0
4,35000,0
4,0,0
3,0,0
3,20000,23000
4,0,0
4,0,0
4,0,0
4,0,0
4,30000,0
3,0,0
1,0,0
4,8800,0
3,0,0
3,15000,0
3,10000,0
3,10000,0
3,0,0
4,0,0
4,2e+05,7000
4,80000,0
4,3000,0
3,60000,0
3,27920,0
3,30000,0
5,40000,0
4,50000,0
3,50000,0
4,6000,0
1,20000,0
4,40000,3468.92
4,5000,0
3,3000,0
4,0,0
4,0,0
4,40000,0
1,0,0
4,8000,0
4,0,0
2,0,12000
5,10000,0
4,20000,0
5,1000,0
4,50000,0
5,10000,20000
3,5000,30000
4,50000,0
5,30000,0
3,0,0
3,1e+05,0
4,0,0
3,30000,0
4,65000,0
4,40000,0
3,50000,0
4,50000,0
4,60000,0
3,30000,0
3,40000,0
3,20000,0
5,1e+05,0
4,50000,0
4,80000,0
3,10000,0
4,0,0
4,50000,250000
4,80000,0
2,50000,0
4,20000,50000
4,80000,0
3,10000,0
3,0,0
4,0,90000
3,0,0
5,240000,0
4,80000,0
4,30000,150000
2,0,0
3,1e+05,0
4,10000,0
4,0,350000
3,50000,60000
2,0,0
2,0,3000
4,50000,51200
3,250000,50000
4,30000,0
4,260000,0
3,20000,0
3,50000,0
4,50000,0
4,60000,0
4,40000,0
4,70000,0
3,40000,0
3,40000,0
4,50000,0
4,1e+05,0
4,40000,0
3,60000,0
4,50000,0
2,30000,0
3,80000,0
4,80000,0
4,50000,0
3,30000,0
3,15000,0
4,50000,0
4,60000,0
4,50000,0
2,10000,0
3,50000,0
4,90000,0
4,40000,0
4,30000,0
3,20000,0
3,20000,0
4,10000,0
5,50000,0
4,30000,0
5,1e+05,0
3,40000,0
4,1e+05,0
5,20000,0
4,80000,0
4,20000,0
4,10000,1e+05
4,1e+05,0
3,0,0
3,0,125500
1,3000,0
4,50000,0
3,3000,0
3,30000,30000
3,5000,0
1,0,20000
4,3000,0
3,3000,0
4,0,0
2,20000,0
4,10000,0
4,0,0
4,40000,0
4,10000,0
4,60000,0
3,50000,0
3,70000,0
3,80000,0
4,10000,0
3,13000,0
3,5000,0
3,0,0
4,1e+05,0
4,20000,0
3,0,0
4,0,0
4,0,0
4,0,20000
4,1e+05,0
4,30000,0
4,0,0
3,0,26000
2,40000,0
4,70000,0
3,20000,0
4,25000,0
4,10000,0
3,70000,0
4,30000,0
4,70000,0
4,50000,0
3,70000,0
2,120000,0
3,50000,0
3,50000,0
3,50000,0
3,1e+05,0
4,50000,0
3,20000,0
2,2e+05,0
4,0,0
3,0,0
4,80000,0
3,15000,0
5,50000,0
3,20000,0
3,35000,0
3,10000,0
3,80000,0
3,0,0
3,40000,0
3,40000,0
3,20000,0
3,4e+05,0
3,10000,0
4,40000,0
1,180000,0
4,90000,0
4,130000,0
5,50000,0
4,0,0
4,2e+05,0
4,10000,0
3,20000,0
3,50000,0
5,140000,0
2,10000,0
3,0,0
4,1e+05,0
4,30000,0
3,40000,0
4,20000,0
2,15000,0
4,80000,0
4,80000,0
4,20000,0
3,10000,0
4,25000,0
3,60000,0
4,50000,0
3,26000,0
5,20000,0
4,50000,0
3,25000,0
4,2000,0
3,0,20000
4,8000,0
2,4000,1000
4,82000,0
4,0,0
2,20000,0
4,0,0
3,1e+05,0
2,0,44000
4,40000,0
4,50000,0
5,35000,0
4,110000,0
4,0,0
2,0,35000
3,2000,3000
2,30000,0
3,10000,0
3,8000,0
2,0,50000
4,25000,0
4,10000,0
2,0,0
4,80000,0
4,10000,0
3,84000,0
3,16000,0
4,0,35000
4,1000,0
3,50000,0
3,11000,0
5,15000,0
3,45000,0
4,1e+05,0
4,10000,0
4,0,0
4,0,0
3,0,0
4,0,0
3,4800,3732
4,0,150000
2,80000,0
4,40000,0
4,80000,0
4,50000,0
5,0,150000
3,50000,0
4,20000,0
3,50000,0
4,80000,0
2,50000,0
4,10000,0
3,25000,6500
3,20000,0
4,30000,0
4,20000,0
5,60000,0
4,15000,0
4,20000,0
4,13000,0
3,14000,0
1,0,0
4,0,0
3,5000,0
4,30000,0
3,10000,0
3,0,0
3,0,0
5,0,0
2,0,0
4,60000,0
3,50000,0
4,10000,0
4,50000,0
3,35000,0
4,30000,0
2,20000,0
3,10000,0
3,40000,0
4,0,0
4,0,0
3,20000,0
4,50000,0
2,20000,0
4,0,0
3,0,0
2,0,1e+05
4,0,0
2,0,50000
4,10000,0
4,35000,0
3,0,0
3,0,3e+05
4,50000,0
4,0,0
2,45000,0
4,90000,0
4,4605,110000
4,10000,0
4,5000,0
3,6000,0
4,40000,0
4,40000,2e+05
4,40000,0
2,0,0
3,0,0
4,5000,0
4,24380,0
3,150000,0
4,20000,0
4,150000,0
3,40000,0
2,0,0
4,30000,0
4,10000,0
4,180000,0
3,0,0
3,0,0
4,20000,0
4,30000,0
4,63000,0
4,40000,0
4,1e+05,0
4,4e+05,0
4,50000,0
2,23000,0
3,80000,0
3,40000,0
3,20000,0
4,10000,0
4,50000,0
2,5000,0
4,3000,0
4,30000,0
4,0,0
3,0,0
4,70000,0
4,20000,0
4,30000,0
4,1e+05,0
3,175000,8000
5,0,0
4,70000,0
3,90000,0
1,5700,4900
4,30000,0
4,50000,0
5,0,0
4,30000,0
5,30000,0
5,5000,0
4,0,0
5,15000,0
4,60000,0
5,0,0
4,50000,0
4,0,2000
2,15000,0
5,40000,0
3,6000,0
4,10000,0
4,20000,0
5,30000,0
5,2000,0
4,20000,0
3,0,0
5,0,0
2,0,80000
2,0,30000
4,300,0
3,5000,0
3,2000,0
4,30000,0
4,0,50000
4,0,0
4,10000,0
5,0,0
4,10000,0
3,10000,0
4,0,80000
4,40000,0
3,49000,0
3,0,20000
4,20000,0
4,0,0
4,10000,0
3,0,90000
4,15000,0
3,0,75000
4,20000,0
4,20000,0
4,10000,0
4,50000,110000
2,0,0
2,0,23000
4,50000,0
4,50000,0
3,0,0
2,0,8500
4,40000,0
3,0,0
3,30000,0
3,0,0
3,0,0
3,0,0
4,0,0
3,0,0
3,0,0
3,0,0
3,0,0
4,0,0
2,30000,0
3,0,0
3,0,0
4,0,0
4,20000,0
3,0,0
4,50000,0
3,0,0
3,0,6000
3,24000,0
4,20000,0
4,0,0
4,20000,0
4,20000,0
2,10000,0
4,20000,0
3,0,10000
4,0,0
5,0,0
4,20000,0
4,0,0
3,2000,0
4,0,0
4,20000,0
4,30000,0
4,5000,2000
4,10000,0
4,0,0
4,30000,0
3,1000,0
5,3000,0
5,10000,0
3,10000,0
4,30000,0
4,3000,21000
4,0,11000
2,0,0
2,0,10000
5,0,20000
5,5000,0
4,30000,0
4,3000,500
3,50000,0
5,0,0
4,20000,0
2,10000,0
4,30000,0
4,20000,0
4,0,0
4,0,18000
5,50000,0
4,0,0
4,5000,0
5,10000,0
4,0,0
4,20000,0
4,0,0
3,0,0
4,10000,0
4,30000,0
4,0,0
3,4000,0
4,2000,0
2,0,0
4,50000,0
3,20000,0
3,5000,0
4,20000,0
4,13000,0
3,0,0
4,10000,0
3,0,6000
2,0,0
4,20000,0
4,10000,1400
2,0,80000
4,10000,0
3,21000,0
3,0,0
5,30000,0
5,30000,0
3,15000,0
3,0,0
4,1e+05,0
3,80000,0
3,20000,0
4,50000,0
5,20000,0
4,22000,0
4,0,0
5,3000,0
4,0,0
4,0,0
4,0,0
2,2000,0
4,20000,0
4,10000,0
3,0,0
4,0,0
4,0,3000
4,10000,0
4,20000,0
4,15000,0
2,2500,70000
4,10000,0
4,15000,0
4,3000,0
4,10000,0
2,2000,0
2,0,2000
4,11000,0
4,1000,10000
4,20000,0
3,20000,30000
3,0,1000
3,20000,0
2,0,5800
4,30000,0
3,10000,0
4,40000,0
5,0,0
4,0,0
4,0,30000
4,0,0
4,0,0
4,1000,0
5,0,0
4,10000,0
4,0,50000
3,0,0
4,0,14000
4,10000,10800
4,12000,0
3,0,10000
4,0,0
4,50000,0
3,0,0
4,20000,0
4,0,0
2,20000,0
4,0,40000
4,0,0
2,30000,0
3,18000,0
4,5000,6000
4,30000,0
4,6000,0
4,45000,0
3,17000,0
3,0,0
5,0,40000
5,21000,0
4,30000,0
4,15000,0
2,0,0
4,0,0
4,0,0
3,0,0
4,0,0
4,0,0
3,0,0
4,0,0
3,0,0
4,0,0
3,0,0
4,0,0
4,0,0
3,0,0
2,0,0
3,10000,0
3,0,0
4,20000,0
5,30000,0
4,10000,0
4,5000,0
3,0,0
4,20000,0
1,8000,0
4,10000,0
4,25000,0
4,20000,0
3,0,0
3,0,0
3,0,0
4,0,0
3,0,0
4,0,10000
4,0,0
3,0,0
4,1000,0
3,23000,0
4,0,20000
4,0,0
2,0,0
2,0,56200
4,0,10000
3,0,5000
4,8000,0
4,0,0
5,0,0
2,0,0
2,0,0
3,20000,0
3,40000,0
4,5000,0
3,4500,0
4,5000,0
4,8000,0
4,10000,0
4,0,0
4,10000,0
4,10000,0
3,10000,0
4,0,0
4,0,0
4,0,8000
4,0,0
4,0,0
3,10000,0
4,0,0
3,0,0
4,0,0
4,30000,0
4,0,30000
3,40000,0
4,50000,0
4,40000,0
2,5000,0
1,0,5000
4,25000,0
4,5000,0
3,0,10000
2,0,0
4,35000,0
3,30000,0
2,0,4000
4,45000,0
2,0,2500
4,0,38000
5,15000,0
3,6000,0
4,50000,0
1,10000,0
2,0,2000
5,80000,0
4,60000,0
2,0,2000
4,60000,0
4,28000,0
5,50000,0
3,50000,200
4,6000,0
1,0,15000
4,0,15000
4,30000,0
3,10000,0
4,20000,0
4,3000,0
4,30000,0
2,0,21000
4,15500,0
4,0,1000
1,0,30000
4,0,25000
4,20000,0
2,0,20000
1,50000,0
3,13000,30000
2,0,21000
4,0,80000
4,20000,0
3,40000,0
4,19000,0
3,0,14000
4,0,40000
3,40000,0
3,0,0
4,3000,0
3,0,0
2,1000,0
4,0,0
4,0,0
2,0,0
4,0,0
3,0,0
3,10000,0
4,5000,0
3,50000,0
2,0,0
3,0,24000
3,0,0
3,0,0
3,0,0
3,0,1e+05
4,20000,0
4,50000,0
3,30000,0
2,0,35000
2,0,58000
3,5000,0
4,20000,1e+05
3,0,0
3,10000,0
4,0,20000
2,0,15000
4,60000,0
2,20000,0
3,0,26000
4,18000,0
1,0,0
3,0,0
3,20000,0
3,4000,0
1,2000,0
3,0,30000
2,6000,0
4,8000,0
4,20000,0
4,80000,0
4,0,50000
2,0,15000
4,30000,0
4,0,12000
3,0,0
4,20000,0
2,0,0
3,2000,0
4,30000,0
4,0,40000
1,0,35000
1,0,0
4,30000,0
5,0,0
4,2000,0
4,25000,0
3,0,35000
5,15000,30000
3,0,0
5,0,0
3,30000,0
3,40000,0
3,2000,0
5,0,0
3,3500,0
4,0,0
4,5000,0
4,0,0
4,0,0
3,10000,0
4,20000,0
3,8000,1700
4,0,150000
4,15000,0
3,0,51000
3,20000,45000
3,0,0
1,20000,0
4,0,18000
4,0,0
4,0,1000
3,60000,0
4,0,0
4,15000,0
3,0,0
2,0,0
4,0,0
3,30000,0
4,0,0
4,4000,9000
4,0,0
4,0,0
3,800,1800
3,50000,0
5,20000,0
4,80000,0
5,20000,0
2,0,0
3,0,0
4,2000,0
4,0,0
4,1000,0
4,0,0
3,0,8000
2,5000,0
4,2000,10000
3,3000,0
4,1000,0
3,0,0
4,0,0
2,3000,0
2,0,0
4,1000,0
3,0,0
3,1000,0
3,0,0
2,5000,0
4,0,0
3,0,10000
4,30000,0
4,50000,0
4,10000,0
4,1200,0
3,0,0
4,27000,0
4,40000,0
5,50000,0
5,20000,0
3,5000,0
3,3000,0
4,60000,0
2,15000,5000
3,5000,0
2,2500,0
4,20000,0
3,3000,0
4,35000,0
4,50000,0
2,0,0
3,3000,0
4,10000,0
3,5000,0
4,10000,0
3,0,0
4,30000,30000
3,3000,50000
4,2000,0
4,18000,0
3,0,1150
4,8000,0
4,10000,0
4,3000,0
4,30000,0
3,0,0
3,6000,0
3,0,1000
4,30000,0
3,0,50000
4,50000,0
4,30000,0
3,0,0
3,0,23000
1,9000,0
4,20000,0
5,0,500
2,0,0
4,0,0
4,0,16000
3,0,10000
4,0,0
3,20000,0
3,5000,3000
3,0,0
4,13000,0
5,0,20000
3,0,35000
4,0,22000
5,4600,0
3,30000,0
4,0,16000
5,10000,0
2,0,5000
3,0,0
4,0,0
3,4000,10000
2,5000,8000
5,0,0
4,20000,0
4,30000,0
4,10000,0
4,10000,0
4,20000,0
3,15000,0
3,5000,2500
4,4000,0
5,0,19000
3,2500,0
3,0,0
1,5000,0
5,0,0
3,10000,0
4,45000,0
4,13000,5000
4,0,15000
4,0,10000
4,0,0
4,0,51000
1,0,0
4,0,35000
3,0,30000
3,5000,0
4,0,0
4,5000,0
4,10000,0
4,50000,0
4,0,20000
3,7000,0
5,25000,0
3,5000,0
3,0,13000
4,22000,0
4,20000,0
2,0,9000
4,3000,0
4,11450,0
4,0,40000
4,0,0
4,14500,0
3,5000,0
4,3000,0
3,0,4500
4,0,0
2,20000,0
3,1000,0
2,20000,0
4,40000,0
4,8000,0
4,22000,0
4,0,30000
2,0,15000
4,38000,0
4,20000,0
3,45000,0
2,30000,0
3,20000,0
4,10000,0
4,30000,0
4,45000,0
3,5000,0
3,2000,25000
3,10000,0
4,15000,0
4,20000,0
3,10000,0
4,35000,0
3,40000,0
5,20000,0
2,13000,0
4,10000,0
4,32000,0
4,10000,0
3,0,20000
4,20000,10000
3,14000,0
4,12000,0
2,10000,0
4,12000,0
3,35000,0
3,0,0
4,20000,0
4,35000,0
3,0,0
2,2000,0
4,0,0
4,1000,0
4,10000,0
4,0,0
5,0,0
3,35000,0
4,0,35000
3,0,0
4,30000,0
4,50000,0
4,0,0
3,0,0
2,50000,0
2,0,0
3,0,0
4,40000,1e+05
4,10000,0
5,15000,0
2,0,1200
2,0,0
3,0,0
2,0,0
3,300,0
4,0,0
4,0,0
4,0,0
4,50000,0
5,60000,0
4,10000,0
2,0,0
3,0,0
4,1e+05,0
4,0,0
3,20000,0
4,0,0
3,20000,0
4,0,0
4,0,0
5,0,0
4,0,0
4,50000,0
4,30000,0
2,50000,0
4,0,0
2,0,0
4,30000,0
4,10000,0
4,0,0
3,40000,0
3,14000,0
4,25000,0
3,0,0
3,0,9500
3,15000,0
4,0,0
4,0,0
3,3000,0
4,30000,0
3,0,0
4,20000,0
4,10000,0
5,20000,0
4,20000,0
4,0,0
3,30000,0
4,0,0
4,40000,0
3,20000,0
4,30000,0
4,9000,0
4,70000,0
4,3000,0
2,8000,0
4,0,0
4,30000,0
3,40000,0
3,50000,0
4,97000,0
3,20000,0
5,0,0
3,30000,180000
2,0,0
4,0,0
3,30000,0
3,0,0
4,50000,0
4,0,0
4,20000,0
4,40000,0
4,0,0
4,40000,0
4,0,0
4,0,350000
4,30000,0
2,20000,0
4,80000,0
3,0,0
3,0,0
3,20000,0
3,0,31000
4,60000,0
4,12000,0
4,140000,0
4,20000,0
3,60000,56000
3,5000,0
3,0,0
4,0,0
3,10000,0
2,0,0
4,50000,0
4,30000,0
4,1e+05,0
5,60000,0
1,20000,0
4,30000,0
4,40000,0
5,0,0
4,0,0
4,80000,0
4,86000,0
4,1e+05,0
4,2000,0
4,50000,0
5,8000,0
3,5000,0
5,40000,0
4,0,0
3,0,0
4,0,0
3,0,0
4,0,0
4,0,0
3,0,0
3,0,0
3,0,3000
2,3000,15000
4,0,25000
2,0,12000
3,15000,0
4,0,0
4,10000,0
3,50000,0
3,50000,0
3,50000,0
4,0,0
4,0,0
4,120000,0
2,0,0
4,2e+05,0
3,90000,0
5,0,0
4,150000,0
3,0,0
4,0,0
4,50000,0
5,1e+05,4e+05
3,0,0
3,10000,0
4,20000,0
4,50000,0
4,50000,0
4,30000,0
4,0,0
1,20000,0
5,0,0
1,20000,0
4,0,0
1,20000,0
4,80000,0
4,0,0
4,20000,0
3,20000,0
4,70000,0
4,10000,0
4,0,0
4,30000,0
4,30000,0
5,0,0
4,0,0
3,10000,0
4,30000,0
4,0,20000
4,1e+05,0
5,0,0
4,1e+05,0
4,1e+05,0
3,5000,0
4,0,0
3,2000,0
4,0,0
2,0,0
4,20000,0
4,0,0
4,0,0
2,20000,0
3,6000,0
4,10000,0
5,0,0
4,20000,0
4,0,0
4,0,0
4,0,0
4,0,0
4,0,0
4,6000,0
3,3000,0
3,0,0
3,0,0
3,40000,0
3,30000,0
4,80000,0
4,30000,0
4,15000,0
4,10000,0
5,0,0
4,3000,0
4,0,10000
5,15000,0
4,10000,0
4,1000,0
4,3000,0
4,10000,0
4,20000,0
3,0,10000
3,0,9000
3,0,0
5,10000,0
4,48000,0
4,0,20000
4,20000,0
3,0,0
2,5000,0
4,0,0
5,0,0
2,0,8000
4,0,20000
3,0,0
3,0,0
4,10000,0
4,5000,0
5,1500,0
4,2000,0
4,0,0
3,500,0
4,30000,0
2,0,0
3,0,0
4,10000,0
4,0,0
2,20000,0
5,10000,0
4,32000,0
3,20000,0
4,0,0
3,0,0
4,30000,0
4,0,0
4,0,0
4,0,0
4,20000,0
4,0,0
4,150000,0
3,80000,0
3,20000,0
4,0,0
4,20000,0
5,20000,0
4,5000,0
4,15000,1e+05
3,0,0
4,15000,0
5,12000,0
2,25000,0
2,24000,0
3,4000,0
2,20000,0
4,35000,0
3,40000,0
3,30000,0
5,4000,0
3,0,0
4,40000,0
3,5000,8200
4,10000,0
4,0,0
2,15000,0
4,35000,0
4,40000,0
4,50000,0
4,0,0
4,20000,25000
4,26000,0
3,10000,0
4,2000,0
2,10000,0
3,0,0
4,30000,80000
4,0,30000
4,20000,0
4,22000,0
4,80000,65000
3,20000,0
5,6000,7000
4,15000,0
4,2000,0
4,10000,0
3,10000,0
2,7000,7000
3,30000,0
4,50000,0
4,0,0
4,30000,0
3,20000,0
4,20000,0
4,40000,1000
4,40000,0
4,20000,0
4,2000,0
5,30000,0
4,10000,0
5,70000,0
4,5000,0
5,20000,0
2,5000,0
3,1200,0
3,20000,0
5,20000,0
3,20000,0
3,50000,0
4,20000,0
4,8000,0
4,30000,0
4,50000,0
4,1e+05,0
4,10000,0
4,0,0
4,20000,0
4,20000,0
4,20000,0
3,0,0
3,20000,0
5,0,0
4,10000,0
4,10000,0
4,30000,0
4,30000,0
3,5000,0
5,12000,0
2,10000,0
1,10000,0
2,6000,0
4,10000,0
4,20000,0
2,10000,0
5,50000,0
2,10000,0
4,10000,0
4,20000,0
4,20000,0
3,25000,0
4,50000,0
4,20000,0
4,1e+05,0
3,0,0
4,50000,0
3,90000,0
4,0,50000
4,150000,0
4,1e+05,0
4,80000,0
2,6000,0
2,120000,0
4,3600,9000
4,1200,0
4,20000,0
4,20000,0
4,20000,0
4,10000,0
4,10000,0
4,10000,0
4,0,0
4,20000,0
4,10000,0
4,20000,0
4,0,70000
3,24000,0
3,30000,0
4,40000,0
4,40000,0
3,30000,0
3,10000,0
4,40000,0
3,20000,0
4,0,0
4,40000,0
4,30000,0
4,30000,0
3,30000,0
4,0,160000
4,10000,0
4,10000,0
4,10000,0
3,10000,0
4,20000,0
3,30000,0
3,20000,0
3,10000,0
5,20000,0
3,50000,0
4,10000,0
4,18000,0
4,80000,0
2,30000,30000
4,40000,0
3,40000,0
4,40000,0
3,20000,0
3,10000,0
4,0,0
4,20000,0
4,10000,10000
4,20000,0
4,8000,0
2,0,0
4,20000,0
4,10000,0
4,8000,0
3,40000,0
4,15000,0
4,30000,0
3,10000,0
4,20000,0
2,5000,0
4,20000,0
3,30000,0
2,20000,0
3,2000,0
2,10000,0
3,30000,0
3,25000,0
3,20000,0
4,20000,0
3,20000,0
4,15000,0
3,20000,0
5,2000,0
3,0,5000
4,0,0
3,0,0
4,80000,0
2,0,0
5,10000,0
4,0,10000
1,0,0
4,45000,0
4,20000,0
2,50000,0
2,30000,0
3,40000,0
3,20000,0
2,16000,0
2,5000,0
3,20000,0
3,30000,0
4,30000,0
4,40000,0
4,15000,0
3,30000,0
4,9600,0
3,6000,0
4,10000,0
4,10000,0
4,10000,0
4,20000,0
4,60000,0
4,20000,0
4,40000,0
3,2400,0
5,50000,0
4,20000,0
4,20000,0
3,2000,0
4,30000,0
3,145000,0
2,10000,0
2,0,0
5,40000,0
5,20000,0
2,20000,0
4,20000,0
4,10000,0
4,20000,0
4,1e+05,0
2,2000,0
4,0,0
2,20000,0
2,40000,30000
2,20000,0
4,15000,0
4,30000,0
3,40000,0
3,30000,0
4,1e+05,0
2,20000,0
3,2000,0
4,120000,90000
4,5000,0
4,40000,0
4,30000,0
4,30000,0
4,1000,0
3,0,0
4,60000,0
4,5000,0
4,5000,0
4,50000,0
4,20000,0
4,20000,0
4,15000,0
1,0,1000
3,0,0
5,50000,0
4,30000,0
4,5000,0
4,80000,0
4,10000,0
3,0,0
4,0,0
4,20000,0
3,0,4000
2,3000,0
5,50000,0
3,46000,0
5,0,0
4,20000,50000
4,50000,0
4,0,0
4,36000,0
4,30000,0
3,10000,0
5,4000,0
3,0,0
2,22000,0
3,55000,0
4,5000,0
5,30000,0
4,22000,0
1,3000,10000
1,0,0
3,3000,0
3,4000,0
3,0,0
5,5000,0
4,42000,0
4,5000,7000
3,3000,1000
5,6000,0
4,0,0
5,10000,0
4,0,0
2,0,0
4,1e+05,0
4,10000,0
2,0,0
4,30000,0
4,20000,0
4,20000,0
4,15000,0
4,30000,0
3,120000,300
3,0,0
4,0,0
4,0,0
2,0,0
4,30000,0
4,5000,0
4,0,11000
4,10000,0
