"Subj","Item","Correct"
"1","1",0
"1","2",1
"1","3",0
"1","4",1
"1","5",0
"1","6",0
"1","7",0
"1","8",0
"1","9",1
"1","10",0
"1","11",1
"1","12",0
"2","1",0
"2","2",1
"2","3",0
"2","4",1
"2","5",1
"2","6",0
"2","7",0
"2","8",0
"2","9",0
"2","10",0
"2","11",1
"2","12",0
"3","1",1
"3","2",1
"3","3",1
"3","4",1
"3","5",1
"3","6",1
"3","7",1
"3","8",1
"3","9",1
"3","10",1
"3","11",1
"3","12",0
"4","1",1
"4","2",1
"4","3",1
"4","4",1
"4","5",1
"4","6",0
"4","7",1
"4","8",1
"4","9",1
"4","10",1
"4","11",1
"4","12",1
"5","1",1
"5","2",1
"5","3",1
"5","4",1
"5","5",1
"5","6",0
"5","7",1
"5","8",1
"5","9",1
"5","10",1
"5","11",1
"5","12",0
"6","1",1
"6","2",1
"6","3",0
"6","4",0
"6","5",1
"6","6",0
"6","7",1
"6","8",0
"6","9",0
"6","10",0
"6","11",1
"6","12",0
"7","1",0
"7","2",0
"7","3",0
"7","4",0
"7","5",0
"7","6",0
"7","7",0
"7","8",0
"7","9",0
"7","10",0
"7","11",0
"7","12",0
"8","1",0
"8","2",1
"8","3",1
"8","4",1
"8","5",1
"8","6",0
"8","7",1
"8","8",0
"8","9",0
"8","10",1
"8","11",1
"8","12",1
"9","1",0
"9","2",1
"9","3",0
"9","4",1
"9","5",1
"9","6",1
"9","7",1
"9","8",0
"9","9",0
"9","10",0
"9","11",1
"9","12",1
"10","1",0
"10","2",1
"10","3",0
"10","4",1
"10","5",1
"10","6",0
"10","7",0
"10","8",0
"10","9",0
"10","10",0
"10","11",1
"10","12",0
"11","1",0
"11","2",1
"11","3",0
"11","4",0
"11","5",0
"11","6",0
"11","7",0
"11","8",0
"11","9",0
"11","10",0
"11","11",1
"11","12",0
"12","1",0
"12","2",1
"12","3",1
"12","4",1
"12","5",1
"12","6",0
"12","7",1
"12","8",0
"12","9",0
"12","10",0
"12","11",1
"12","12",1
"13","1",0
"13","2",1
"13","3",1
"13","4",1
"13","5",1
"13","6",0
"13","7",1
"13","8",0
"13","9",0
"13","10",0
"13","11",1
"13","12",0
"14","1",1
"14","2",1
"14","3",1
"14","4",1
"14","5",1
"14","6",0
"14","7",0
"14","8",0
"14","9",1
"14","10",0
"14","11",1
"14","12",1
"15","1",0
"15","2",1
"15","3",1
"15","4",0
"15","5",1
"15","6",0
"15","7",1
"15","8",0
"15","9",1
"15","10",0
"15","11",1
"15","12",0
"16","1",1
"16","2",1
"16","3",1
"16","4",1
"16","5",1
"16","6",1
"16","7",1
"16","8",1
"16","9",1
"16","10",1
"16","11",1
"16","12",1
"17","1",1
"17","2",1
"17","3",1
"17","4",1
"17","5",1
"17","6",0
"17","7",1
"17","8",0
"17","9",0
"17","10",1
"17","11",1
"17","12",1
"18","1",1
"18","2",1
"18","3",1
"18","4",1
"18","5",1
"18","6",0
"18","7",1
"18","8",1
"18","9",1
"18","10",1
"18","11",1
"18","12",0
"19","1",1
"19","2",1
"19","3",1
"19","4",1
"19","5",1
"19","6",0
"19","7",1
"19","8",1
"19","9",1
"19","10",1
"19","11",1
"19","12",1
"20","1",0
"20","2",0
"20","3",0
"20","4",1
"20","5",0
"20","6",0
"20","7",0
"20","8",0
"20","9",0
"20","10",0
"20","11",1
"20","12",0
"21","1",0
"21","2",0
"21","3",0
"21","4",0
"21","5",1
"21","6",0
"21","7",0
"21","8",0
"21","9",0
"21","10",0
"21","11",0
"21","12",0
"22","1",0
"22","2",1
"22","3",0
"22","4",1
"22","5",1
"22","6",0
"22","7",0
"22","8",0
"22","9",1
"22","10",0
"22","11",1
"22","12",0
"23","1",0
"23","2",1
"23","3",1
"23","4",1
"23","5",1
"23","6",0
"23","7",1
"23","8",0
"23","9",0
"23","10",0
"23","11",1
"23","12",1
"24","1",0
"24","2",1
"24","3",1
"24","4",1
"24","5",1
"24","6",1
"24","7",1
"24","8",0
"24","9",1
"24","10",1
"24","11",1
"24","12",1
"25","1",1
"25","2",1
"25","3",1
"25","4",1
"25","5",1
"25","6",0
"25","7",0
"25","8",0
"25","9",0
"25","10",0
"25","11",1
"25","12",1
"26","1",1
"26","2",1
"26","3",1
"26","4",1
"26","5",1
"26","6",1
"26","7",1
"26","8",1
"26","9",1
"26","10",1
"26","11",1
"26","12",1
"27","1",1
"27","2",1
"27","3",0
"27","4",0
"27","5",1
"27","6",1
"27","7",1
"27","8",0
"27","9",0
"27","10",1
"27","11",1
"27","12",0
"28","1",1
"28","2",1
"28","3",0
"28","4",1
"28","5",1
"28","6",0
"28","7",1
"28","8",0
"28","9",1
"28","10",0
"28","11",1
"28","12",0
"29","1",1
"29","2",1
"29","3",1
"29","4",1
"29","5",1
"29","6",1
"29","7",1
"29","8",1
"29","9",1
"29","10",1
"29","11",1
"29","12",1
"30","1",1
"30","2",1
"30","3",1
"30","4",1
"30","5",1
"30","6",1
"30","7",1
"30","8",0
"30","9",0
"30","10",1
"30","11",1
"30","12",1
"31","1",1
"31","2",1
"31","3",0
"31","4",1
"31","5",0
"31","6",1
"31","7",1
"31","8",1
"31","9",1
"31","10",1
"31","11",1
"31","12",0
"32","1",0
"32","2",1
"32","3",0
"32","4",1
"32","5",1
"32","6",0
"32","7",0
"32","8",0
"32","9",0
"32","10",0
"32","11",1
"32","12",1
"33","1",1
"33","2",1
"33","3",1
"33","4",1
"33","5",1
"33","6",1
"33","7",1
"33","8",1
"33","9",1
"33","10",1
"33","11",1
"33","12",1
"34","1",1
"34","2",1
"34","3",1
"34","4",1
"34","5",1
"34","6",0
"34","7",0
"34","8",1
"34","9",1
"34","10",0
"34","11",1
"34","12",1
"35","1",1
"35","2",1
"35","3",0
"35","4",1
"35","5",1
"35","6",1
"35","7",1
"35","8",1
"35","9",1
"35","10",1
"35","11",1
"35","12",1
"36","1",1
"36","2",1
"36","3",0
"36","4",0
"36","5",0
"36","6",0
"36","7",1
"36","8",0
"36","9",1
"36","10",0
"36","11",1
"36","12",1
"37","1",1
"37","2",1
"37","3",1
"37","4",1
"37","5",1
"37","6",0
"37","7",1
"37","8",0
"37","9",0
"37","10",1
"37","11",1
"37","12",1
"38","1",1
"38","2",1
"38","3",0
"38","4",1
"38","5",1
"38","6",1
"38","7",1
"38","8",0
"38","9",1
"38","10",1
"38","11",1
"38","12",1
"39","1",1
"39","2",1
"39","3",1
"39","4",1
"39","5",1
"39","6",0
"39","7",1
"39","8",1
"39","9",1
"39","10",1
"39","11",1
"39","12",0
"40","1",1
"40","2",1
"40","3",0
"40","4",1
"40","5",1
"40","6",0
"40","7",1
"40","8",0
"40","9",0
"40","10",1
"40","11",1
"40","12",1
"41","1",0
"41","2",1
"41","3",0
"41","4",1
"41","5",1
"41","6",0
"41","7",0
"41","8",0
"41","9",0
"41","10",0
"41","11",1
"41","12",0
"42","1",0
"42","2",0
"42","3",0
"42","4",1
"42","5",0
"42","6",0
"42","7",0
"42","8",0
"42","9",0
"42","10",0
"42","11",1
"42","12",1
"43","1",1
"43","2",1
"43","3",1
"43","4",1
"43","5",1
"43","6",0
"43","7",0
"43","8",0
"43","9",1
"43","10",1
"43","11",1
"43","12",1
"44","1",0
"44","2",1
"44","3",0
"44","4",1
"44","5",1
"44","6",0
"44","7",1
"44","8",0
"44","9",1
"44","10",0
"44","11",1
"44","12",1
"45","1",0
"45","2",0
"45","3",0
"45","4",0
"45","5",0
"45","6",0
"45","7",0
"45","8",0
"45","9",0
"45","10",0
"45","11",0
"45","12",0
"46","1",0
"46","2",1
"46","3",1
"46","4",1
"46","5",1
"46","6",0
"46","7",0
"46","8",0
"46","9",0
"46","10",0
"46","11",1
"46","12",0
"47","1",1
"47","2",1
"47","3",0
"47","4",1
"47","5",0
"47","6",1
"47","7",0
"47","8",0
"47","9",0
"47","10",0
"47","11",1
"47","12",1
"48","1",1
"48","2",1
"48","3",0
"48","4",1
"48","5",0
"48","6",0
"48","7",0
"48","8",0
"48","9",0
"48","10",0
"48","11",1
"48","12",1
"49","1",0
"49","2",1
"49","3",1
"49","4",1
"49","5",1
"49","6",0
"49","7",0
"49","8",0
"49","9",0
"49","10",0
"49","11",1
"49","12",0
"50","1",1
"50","2",1
"50","3",0
"50","4",1
"50","5",1
"50","6",0
"50","7",0
"50","8",1
"50","9",0
"50","10",0
"50","11",1
"50","12",1
"51","1",0
"51","2",1
"51","3",1
"51","4",1
"51","5",1
"51","6",0
"51","7",0
"51","8",0
"51","9",0
"51","10",0
"51","11",1
"51","12",0
"52","1",1
"52","2",1
"52","3",1
"52","4",1
"52","5",1
"52","6",1
"52","7",1
"52","8",1
"52","9",1
"52","10",1
"52","11",1
"52","12",1
"53","1",0
"53","2",1
"53","3",1
"53","4",1
"53","5",1
"53","6",0
"53","7",0
"53","8",1
"53","9",0
"53","10",0
"53","11",1
"53","12",0
"54","1",1
"54","2",1
"54","3",1
"54","4",1
"54","5",1
"54","6",1
"54","7",0
"54","8",1
"54","9",1
"54","10",1
"54","11",1
"54","12",1
"55","1",1
"55","2",1
"55","3",0
"55","4",1
"55","5",1
"55","6",0
"55","7",0
"55","8",0
"55","9",0
"55","10",1
"55","11",1
"55","12",1
"56","1",1
"56","2",1
"56","3",0
"56","4",1
"56","5",1
"56","6",0
"56","7",1
"56","8",0
"56","9",1
"56","10",0
"56","11",1
"56","12",1
"57","1",1
"57","2",1
"57","3",1
"57","4",1
"57","5",1
"57","6",1
"57","7",1
"57","8",1
"57","9",1
"57","10",1
"57","11",1
"57","12",1
"58","1",1
"58","2",1
"58","3",1
"58","4",1
"58","5",1
"58","6",1
"58","7",1
"58","8",1
"58","9",1
"58","10",1
"58","11",1
"58","12",1
"59","1",1
"59","2",1
"59","3",0
"59","4",1
"59","5",0
"59","6",0
"59","7",1
"59","8",0
"59","9",0
"59","10",1
"59","11",1
"59","12",1
"60","1",1
"60","2",1
"60","3",1
"60","4",1
"60","5",1
"60","6",0
"60","7",1
"60","8",0
"60","9",0
"60","10",1
"60","11",1
"60","12",1
"61","1",0
"61","2",1
"61","3",0
"61","4",0
"61","5",0
"61","6",0
"61","7",0
"61","8",0
"61","9",0
"61","10",0
"61","11",1
"61","12",0
"62","1",0
"62","2",0
"62","3",0
"62","4",0
"62","5",0
"62","6",0
"62","7",0
"62","8",0
"62","9",0
"62","10",0
"62","11",0
"62","12",0
"63","1",0
"63","2",0
"63","3",0
"63","4",0
"63","5",0
"63","6",0
"63","7",0
"63","8",0
"63","9",0
"63","10",0
"63","11",1
"63","12",1
"64","1",0
"64","2",1
"64","3",0
"64","4",0
"64","5",1
"64","6",0
"64","7",0
"64","8",0
"64","9",0
"64","10",0
"64","11",1
"64","12",1
"65","1",0
"65","2",0
"65","3",0
"65","4",0
"65","5",0
"65","6",0
"65","7",0
"65","8",0
"65","9",0
"65","10",0
"65","11",1
"65","12",1
"66","1",1
"66","2",1
"66","3",0
"66","4",1
"66","5",1
"66","6",1
"66","7",1
"66","8",1
"66","9",1
"66","10",1
"66","11",1
"66","12",1
"67","1",1
"67","2",1
"67","3",1
"67","4",1
"67","5",1
"67","6",0
"67","7",1
"67","8",0
"67","9",1
"67","10",0
"67","11",1
"67","12",1
"68","1",0
"68","2",1
"68","3",0
"68","4",1
"68","5",0
"68","6",0
"68","7",0
"68","8",0
"68","9",1
"68","10",0
"68","11",1
"68","12",0
"69","1",1
"69","2",1
"69","3",1
"69","4",1
"69","5",1
"69","6",0
"69","7",0
"69","8",0
"69","9",1
"69","10",0
"69","11",1
"69","12",0
"70","1",0
"70","2",1
"70","3",0
"70","4",1
"70","5",0
"70","6",0
"70","7",1
"70","8",0
"70","9",0
"70","10",0
"70","11",1
"70","12",1
"71","1",1
"71","2",1
"71","3",1
"71","4",1
"71","5",1
"71","6",1
"71","7",1
"71","8",1
"71","9",1
"71","10",1
"71","11",1
"71","12",0
"72","1",0
"72","2",1
"72","3",0
"72","4",0
"72","5",1
"72","6",0
"72","7",1
"72","8",0
"72","9",0
"72","10",0
"72","11",1
"72","12",1
"73","1",1
"73","2",1
"73","3",1
"73","4",1
"73","5",1
"73","6",1
"73","7",1
"73","8",1
"73","9",0
"73","10",1
"73","11",1
"73","12",0
"74","1",1
"74","2",1
"74","3",0
"74","4",1
"74","5",1
"74","6",0
"74","7",0
"74","8",1
"74","9",1
"74","10",0
"74","11",1
"74","12",1
"75","1",0
"75","2",1
"75","3",0
"75","4",1
"75","5",0
"75","6",0
"75","7",0
"75","8",0
"75","9",0
"75","10",0
"75","11",1
"75","12",1
"76","1",0
"76","2",1
"76","3",0
"76","4",1
"76","5",1
"76","6",0
"76","7",0
"76","8",0
"76","9",0
"76","10",0
"76","11",1
"76","12",0
"77","1",0
"77","2",1
"77","3",0
"77","4",1
"77","5",1
"77","6",0
"77","7",1
"77","8",0
"77","9",0
"77","10",0
"77","11",1
"77","12",1
"78","1",0
"78","2",0
"78","3",0
"78","4",0
"78","5",0
"78","6",0
"78","7",0
"78","8",0
"78","9",1
"78","10",0
"78","11",1
"78","12",0
"79","1",1
"79","2",1
"79","3",1
"79","4",1
"79","5",1
"79","6",1
"79","7",1
"79","8",1
"79","9",0
"79","10",1
"79","11",1
"79","12",1
"80","1",1
"80","2",1
"80","3",1
"80","4",1
"80","5",1
"80","6",1
"80","7",1
"80","8",1
"80","9",1
"80","10",1
"80","11",1
"80","12",1
"81","1",1
"81","2",1
"81","3",1
"81","4",1
"81","5",1
"81","6",1
"81","7",1
"81","8",1
"81","9",1
"81","10",1
"81","11",1
"81","12",1
"82","1",0
"82","2",0
"82","3",0
"82","4",1
"82","5",0
"82","6",0
"82","7",0
"82","8",0
"82","9",0
"82","10",0
"82","11",1
"82","12",1
"83","1",1
"83","2",1
"83","3",0
"83","4",1
"83","5",1
"83","6",0
"83","7",1
"83","8",1
"83","9",0
"83","10",0
"83","11",1
"83","12",1
"84","1",1
"84","2",1
"84","3",0
"84","4",1
"84","5",1
"84","6",1
"84","7",0
"84","8",0
"84","9",0
"84","10",1
"84","11",1
"84","12",1
"85","1",1
"85","2",1
"85","3",1
"85","4",1
"85","5",1
"85","6",1
"85","7",1
"85","8",1
"85","9",1
"85","10",1
"85","11",1
"85","12",1
"86","1",1
"86","2",1
"86","3",1
"86","4",1
"86","5",1
"86","6",1
"86","7",1
"86","8",1
"86","9",1
"86","10",1
"86","11",1
"86","12",0
"87","1",1
"87","2",1
"87","3",0
"87","4",1
"87","5",1
"87","6",0
"87","7",1
"87","8",0
"87","9",0
"87","10",1
"87","11",1
"87","12",1
"88","1",1
"88","2",1
"88","3",0
"88","4",1
"88","5",1
"88","6",1
"88","7",1
"88","8",1
"88","9",0
"88","10",1
"88","11",0
"88","12",1
"89","1",1
"89","2",1
"89","3",1
"89","4",1
"89","5",1
"89","6",0
"89","7",1
"89","8",1
"89","9",1
"89","10",1
"89","11",1
"89","12",1
"90","1",0
"90","2",0
"90","3",0
"90","4",0
"90","5",1
"90","6",0
"90","7",0
"90","8",0
"90","9",0
"90","10",0
"90","11",1
"90","12",0
"91","1",0
"91","2",0
"91","3",0
"91","4",0
"91","5",0
"91","6",0
"91","7",0
"91","8",0
"91","9",0
"91","10",0
"91","11",0
"91","12",0
"92","1",1
"92","2",1
"92","3",1
"92","4",1
"92","5",1
"92","6",0
"92","7",1
"92","8",1
"92","9",1
"92","10",1
"92","11",1
"92","12",1
"93","1",0
"93","2",1
"93","3",0
"93","4",1
"93","5",1
"93","6",0
"93","7",0
"93","8",0
"93","9",0
"93","10",0
"93","11",1
"93","12",0
"94","1",0
"94","2",0
"94","3",0
"94","4",1
"94","5",1
"94","6",0
"94","7",0
"94","8",0
"94","9",0
"94","10",0
"94","11",1
"94","12",0
"95","1",1
"95","2",1
"95","3",1
"95","4",1
"95","5",1
"95","6",1
"95","7",1
"95","8",0
"95","9",1
"95","10",1
"95","11",1
"95","12",1
"96","1",0
"96","2",1
"96","3",0
"96","4",1
"96","5",0
"96","6",0
"96","7",0
"96","8",0
"96","9",0
"96","10",0
"96","11",1
"96","12",0
"97","1",1
"97","2",1
"97","3",0
"97","4",1
"97","5",1
"97","6",0
"97","7",1
"97","8",0
"97","9",0
"97","10",0
"97","11",1
"97","12",0
"98","1",1
"98","2",1
"98","3",0
"98","4",1
"98","5",1
"98","6",1
"98","7",1
"98","8",1
"98","9",0
"98","10",1
"98","11",1
"98","12",1
"99","1",0
"99","2",0
"99","3",0
"99","4",1
"99","5",0
"99","6",0
"99","7",1
"99","8",0
"99","9",0
"99","10",0
"99","11",1
"99","12",1
"100","1",0
"100","2",0
"100","3",0
"100","4",1
"100","5",0
"100","6",0
"100","7",0
"100","8",0
"100","9",1
"100","10",0
"100","11",1
"100","12",1
"101","1",1
"101","2",1
"101","3",0
"101","4",1
"101","5",1
"101","6",0
"101","7",1
"101","8",0
"101","9",0
"101","10",0
"101","11",0
"101","12",0
"102","1",1
"102","2",1
"102","3",1
"102","4",1
"102","5",1
"102","6",1
"102","7",1
"102","8",1
"102","9",1
"102","10",1
"102","11",1
"102","12",1
"103","1",0
"103","2",0
"103","3",0
"103","4",0
"103","5",1
"103","6",0
"103","7",0
"103","8",0
"103","9",1
"103","10",1
"103","11",1
"103","12",0
"104","1",1
"104","2",1
"104","3",1
"104","4",1
"104","5",1
"104","6",0
"104","7",1
"104","8",1
"104","9",1
"104","10",1
"104","11",1
"104","12",1
"105","1",1
"105","2",1
"105","3",1
"105","4",1
"105","5",1
"105","6",0
"105","7",0
"105","8",0
"105","9",0
"105","10",0
"105","11",1
"105","12",1
"106","1",1
"106","2",1
"106","3",0
"106","4",1
"106","5",1
"106","6",0
"106","7",0
"106","8",0
"106","9",0
"106","10",0
"106","11",1
"106","12",0
"107","1",0
"107","2",1
"107","3",1
"107","4",1
"107","5",1
"107","6",0
"107","7",0
"107","8",1
"107","9",0
"107","10",0
"107","11",1
"107","12",1
"108","1",0
"108","2",1
"108","3",0
"108","4",0
"108","5",0
"108","6",0
"108","7",0
"108","8",0
"108","9",0
"108","10",0
"108","11",1
"108","12",0
"109","1",1
"109","2",1
"109","3",1
"109","4",1
"109","5",1
"109","6",0
"109","7",1
"109","8",0
"109","9",1
"109","10",1
"109","11",1
"109","12",1
"110","1",0
"110","2",1
"110","3",1
"110","4",1
"110","5",0
"110","6",0
"110","7",1
"110","8",0
"110","9",0
"110","10",0
"110","11",1
"110","12",0
"111","1",0
"111","2",1
"111","3",0
"111","4",1
"111","5",1
"111","6",0
"111","7",1
"111","8",0
"111","9",0
"111","10",0
"111","11",1
"111","12",0
"112","1",1
"112","2",1
"112","3",0
"112","4",1
"112","5",0
"112","6",1
"112","7",0
"112","8",0
"112","9",0
"112","10",1
"112","11",1
"112","12",1
"113","1",1
"113","2",1
"113","3",0
"113","4",1
"113","5",1
"113","6",0
"113","7",1
"113","8",0
"113","9",0
"113","10",1
"113","11",1
"113","12",0
"114","1",1
"114","2",1
"114","3",1
"114","4",1
"114","5",1
"114","6",1
"114","7",1
"114","8",1
"114","9",1
"114","10",1
"114","11",1
"114","12",1
"115","1",1
"115","2",1
"115","3",1
"115","4",1
"115","5",1
"115","6",1
"115","7",1
"115","8",0
"115","9",1
"115","10",1
"115","11",1
"115","12",1
"116","1",0
"116","2",1
"116","3",0
"116","4",1
"116","5",1
"116","6",0
"116","7",1
"116","8",1
"116","9",0
"116","10",1
"116","11",1
"116","12",1
"117","1",1
"117","2",1
"117","3",0
"117","4",1
"117","5",1
"117","6",0
"117","7",1
"117","8",0
"117","9",0
"117","10",1
"117","11",1
"117","12",1
"118","1",0
"118","2",1
"118","3",0
"118","4",1
"118","5",1
"118","6",0
"118","7",0
"118","8",0
"118","9",0
"118","10",0
"118","11",1
"118","12",0
"119","1",1
"119","2",1
"119","3",0
"119","4",1
"119","5",1
"119","6",0
"119","7",1
"119","8",0
"119","9",1
"119","10",0
"119","11",1
"119","12",0
"120","1",0
"120","2",0
"120","3",0
"120","4",0
"120","5",0
"120","6",0
"120","7",0
"120","8",0
"120","9",0
"120","10",0
"120","11",1
"120","12",0
"121","7",1
"122","7",0
