"Org","OrgName","Cla","Pos","ClaPos","Salary"
"PL","Philosophy","PC","FT2","PC.FT2",72395
"MUTH","Music Theory","PC","FT2","PC.FT2",61017
"ENG","English","PC","FT2","PC.FT2",82370
"CMLT","Comparative Literature","PC","FT2","PC.FT2",68805
"LGED","Language Education","PT","FT3","PT.FT3",63796
"MGMT","Dept Mangement & Entrep","PR","NDW","PR.NDW",219600
"INFO","Informatics","PT","FT3","PT.FT3",98814
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",107745
"CRIN","Curriculum & Instruction","PR","NDW","PR.NDW",114275
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",173302
"SOC","Sociology","PR","FT1","PR.FT1",117240
"ECON","Economics","PR","FT1","PR.FT1",152437
"HIST","History","PR","FT1","PR.FT1",131615
"ANTH","Anthropology","PC","FT2","PC.FT2",68575
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",243800
"STAT","Statistics","PT","FT3","PT.FT3",79689
"CMCL","Communication & Culture","PC","FT2","PC.FT2",65864
"ENG","English","PC","FT2","PC.FT2",78978
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",82626
"SPHS","Speech & Hearing Sciences","PC","FT2","PC.FT2",95708
"ENG","English","PC","FT2","PC.FT2",67495
"SPHS","Speech & Hearing Sciences","PR","FT1","PR.FT1",111244
"FRIT","French and Italian","PC","FT2","PC.FT2",59678
"MUST","Music School-String Technology","PR","FT1","PR.FT1",165335
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",181200
"CHEM","Chemistry","PT","FT3","PT.FT3",80093
"MUVO","Music-Voice Department","PC","FT2","PC.FT2",78435
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",96447
"CEUS","Central Eurasian Studies","PC","FT2","PC.FT2",98059
"SPEA","Public & Environmental Affairs","PR","DST","PR.DST",285000
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",100044
"OADT","Business Operations & Decision Technolog","PC","FT2","PC.FT2",167400
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",120616
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",100775
"ANTH","Anthropology","PR","FT1","PR.FT1",89199
"CHEM","Chemistry","PC","FT2","PC.FT2",133167
"MATH","Mathematics","PT","FT3","PT.FT3",82199
"CHEM","Chemistry","PC","FT2","PC.FT2",102028
"OADT","Business Operations & Decision Technolog","PT","FT3","PT.FT3",147000
"INFO","Informatics","PC","FT2","PC.FT2",99733
"INFO","Informatics","PC","FT2","PC.FT2",97006
"APHS","Applied Health Science","PT","FT3","PT.FT3",72917
"ENG","English","PT","FT3","PT.FT3",64000
"PL","Philosophy","PR","NDW","PR.NDW",119441
"GEOL","Geological Sciences","PR","FT1","PR.FT1",140852
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",102505
"FINH","Fine Arts - History","PC","FT2","PC.FT2",80504
"GEOL","Geological Sciences","PR","NDW","PR.NDW",95081
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",135559
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",101090
"PHYS","Physics","PR","FT1","PR.FT1",95893
"BEPP","School of Business Economics & Public","PR","NDW","PR.NDW",250100
"LING","Linguistics","PT","FT3","PT.FT3",70213
"ECON","Economics","PR","FT1","PR.FT1",220668
"APHS","Applied Health Science","PT","FT3","PT.FT3",72930
"CEUS","Central Eurasian Studies","PR","FT1","PR.FT1",116142
"PHYS","Physics","PC","FT2","PC.FT2",97000
"OPT","Optometry","PR","FT1","PR.FT1",95141
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",164300
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",71310
"BFIN","School of Business Finance Department","PT","FT3","PT.FT3",197700
"SOC","Sociology","PT","FT3","PT.FT3",75000
"BI","Biology","PC","FT2","PC.FT2",65116
"ACTG","School of Business Accounting Department","PR","NDW","PR.NDW",230300
"SPHS","Speech & Hearing Sciences","PT","FT3","PT.FT3",76889
"MATH","Mathematics","PR","FT1","PR.FT1",121951
"PHYS","Physics","PR","FT1","PR.FT1",84229
"PSY","Psychological & Brain Sciences","PR","NDW","PR.NDW",209404
"ECON","Economics","PT","FT3","PT.FT3",120000
"BI","Biology","PR","FT1","PR.FT1",119500
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",212800
"POLS","Political Science","PR","FT1","PR.FT1",167570
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",100345
"POLS","Political Science","PR","FT1","PR.FT1",115500
"BFIN","School of Business Finance Department","PR","NDW","PR.NDW",252600
"APHS","Applied Health Science","PC","FT2","PC.FT2",89621
"REL","Religious Studies","PT","FT3","PT.FT3",64000
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",110804
"SPEA","Public & Environmental Affairs","PR","NDW","PR.NDW",155059
"SPAN","Spanish & Portuguese","PT","FT3","PT.FT3",68135
"GEOL","Geological Sciences","PR","FT1","PR.FT1",170509
"FRIT","French and Italian","PT","FT3","PT.FT3",74000
"APHS","Applied Health Science","PC","FT2","PC.FT2",90016
"REL","Religious Studies","PT","FT3","PT.FT3",62213
"KINE","Kinesiology","PT","FT3","PT.FT3",71500
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",92727
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",76637
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",63888
"INFO","Informatics","PC","FT2","PC.FT2",116665
"BI","Biology","PR","FT1","PR.FT1",93127
"SLIS","Library & Information Science","PR","NDW","PR.NDW",147116
"ENG","English","PC","FT2","PC.FT2",78716
"BLAN","Dept of Business Law & Ethics","PC","FT2","PC.FT2",112600
"FRIT","French and Italian","PC","FT2","PC.FT2",73629
"ENG","English","PR","NDW","PR.NDW",96559
"MATH","Mathematics","PR","FT1","PR.FT1",94518
"OPT","Optometry","PR","FT1","PR.FT1",94862
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",220450
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",77612
"POLS","Political Science","PC","FT2","PC.FT2",85000
"CSCI","Computer Science","PR","FT1","PR.FT1",116598
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",111210
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",72420
"MUST","Music School-String Technology","PR","FT1","PR.FT1",117002
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",98161
"GEOL","Geological Sciences","PR","FT1","PR.FT1",135383
"GERM","Germanic Studies","PR","FT1","PR.FT1",92232
"GERM","Germanic Studies","PR","FT1","PR.FT1",113147
"BI","Biology","PR","FT1","PR.FT1",157745
"OADT","Business Operations & Decision Technolog","PR","FT1","PR.FT1",174100
"ANTH","Anthropology","PR","FT1","PR.FT1",118958
"SOC","Sociology","PR","NDW","PR.NDW",146138
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",149500
"REL","Religious Studies","PC","FT2","PC.FT2",75013
"CSCI","Computer Science","PR","FT1","PR.FT1",134211
"ENG","English","PC","FT2","PC.FT2",74206
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",185300
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",83500
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",163100
"CHEM","Chemistry","PT","FT3","PT.FT3",79817
"BI","Biology","PR","NDW","PR.NDW",135236
"THTR","Theatre & Drama","PT","FT3","PT.FT3",59994
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",83749
"ECON","Economics","PR","FT1","PR.FT1",133541
"ANTH","Anthropology","PC","FT2","PC.FT2",73222
"ELPS","Leadership & Policy Studies","PR","FT1","PR.FT1",115465
"THTR","Theatre & Drama","PC","FT2","PC.FT2",65946
"MKTG","School of Business Marketing Department","PR","NDW","PR.NDW",212500
"MUHI","Music School-Musicology","PR","DST","PR.DST",114189
"FOLK","Dept Folklore/Ethnomusicology","PR","FT1","PR.FT1",88003
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",144743
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",78295
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",96075
"AMST","American Studies","PT","FT3","PT.FT3",65500
"SOC","Sociology","PT","FT3","PT.FT3",75295
"FRIT","French and Italian","PT","FT3","PT.FT3",71057
"CMCL","Communication & Culture","PR","FT1","PR.FT1",87693
"BI","Biology","PC","FT2","PC.FT2",101059
"INFO","Informatics","PR","FT1","PR.FT1",145265
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",108622
"OPT","Optometry","PC","FT2","PC.FT2",83342
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",106518
"CHEM","Chemistry","PT","FT3","PT.FT3",90000
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",100141
"MUIN","Instrument Applied Music","PT","FT3","PT.FT3",57589
"TELC","Telecommunications","PR","FT1","PR.FT1",123128
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",100475
"LAWS","Maurer School of Law","PR","DST","PR.DST",193650
"OADT","Business Operations & Decision Technolog","PC","FT2","PC.FT2",161900
"CHEM","Chemistry","PR","DST","PR.DST",154487
"SOC","Sociology","PT","FT3","PT.FT3",76000
"MKTG","School of Business Marketing Department","PT","FT3","PT.FT3",151600
"ECON","Economics","PR","FT1","PR.FT1",213467
"KINE","Kinesiology","PT","FT3","PT.FT3",82072
"ENG","English","PR","FT1","PR.FT1",105038
"CSCI","Computer Science","PT","FT3","PT.FT3",92378
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",182800
"RPAD","Recreation,Park&Tourism Studie","PC","FT2","PC.FT2",97016
"EALC","East Asian Langs & Cultures","PR","FT1","PR.FT1",92000
"TELC","Telecommunications","PR","FT1","PR.FT1",135366
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",123930
"MATH","Mathematics","PR","FT1","PR.FT1",118321
"ANTH","Anthropology","PR","FT1","PR.FT1",82035
"KINE","Kinesiology","PT","FT3","PT.FT3",68614
"BI","Biology","PR","DST","PR.DST",160983
"HIST","History","PR","FT1","PR.FT1",135659
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",102297
"PHYS","Physics","PT","FT3","PT.FT3",76922
"MUIN","Instrument Applied Music","PR","NDW","PR.NDW",138002
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",176868
"RPAD","Recreation,Park&Tourism Studie","PC","FT2","PC.FT2",91983
"MUST","Music School-String Technology","PC","FT2","PC.FT2",72016
"ENG","English","PR","FT1","PR.FT1",94353
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",219450
"MATH","Mathematics","PC","FT2","PC.FT2",85282
"SPHS","Speech & Hearing Sciences","PR","FT1","PR.FT1",143190
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",116450
"JOUR","Journalism","PC","FT2","PC.FT2",81056
"THTR","Theatre & Drama","PC","FT2","PC.FT2",67386
"ANTH","Anthropology","PR","FT1","PR.FT1",91291
"CHEM","Chemistry","PT","FT3","PT.FT3",80464
"JOUR","Journalism","PR","FT1","PR.FT1",93530
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",109161
"SOC","Sociology","PC","FT2","PC.FT2",66690
"LGED","Language Education","PC","FT2","PC.FT2",70245
"KINE","Kinesiology","PR","FT1","PR.FT1",113500
"SPEA","Public & Environmental Affairs","PR","NDW","PR.NDW",116940
"POLS","Political Science","PR","FT1","PR.FT1",121241
"INFO","Informatics","PT","FT3","PT.FT3",96115
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",182200
"SLIS","Library & Information Science","PR","NDW","PR.NDW",181938
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",74059
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",99464
"HIST","History","PR","FT1","PR.FT1",96609
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",117521
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",105000
"MATH","Mathematics","PR","FT1","PR.FT1",77354
"CSCI","Computer Science","PC","FT2","PC.FT2",109149
"LGED","Language Education","PC","FT2","PC.FT2",74386
"MATH","Mathematics","PT","FT3","PT.FT3",82000
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",64392
"CHEM","Chemistry","PT","FT3","PT.FT3",81523
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",71461
"BI","Biology","PT","FT3","PT.FT3",77500
"SLS","Second Language Studies","PC","FT2","PC.FT2",66867
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",236450
"MATH","Mathematics","PR","FT1","PR.FT1",116897
"LING","Linguistics","PR","FT1","PR.FT1",116553
"SLIS","Library & Information Science","PC","FT2","PC.FT2",90998
"LING","Linguistics","PR","FT1","PR.FT1",91238
"BEPP","School of Business Economics & Public","PT","FT3","PT.FT3",128400
"PHYS","Physics","PR","FT1","PR.FT1",186971
"CHEM","Chemistry","PR","FT1","PR.FT1",128953
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",87066
"CMCL","Communication & Culture","PT","FT3","PT.FT3",60000
"ELPS","Leadership & Policy Studies","PT","FT3","PT.FT3",68340
"SLS","Second Language Studies","PR","FT1","PR.FT1",88248
"AST","Astronomy","PC","FT2","PC.FT2",79081
"HIST","History","PC","FT2","PC.FT2",73000
"BI","Biology","PR","FT1","PR.FT1",131014
"BI","Biology","PR","FT1","PR.FT1",106000
"MATH","Mathematics","PC","FT2","PC.FT2",93118
"OADT","Business Operations & Decision Technolog","PR","NDW","PR.NDW",243100
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",73548
"PHYS","Physics","PT","FT3","PT.FT3",81777
"TELC","Telecommunications","PR","DST","PR.DST",172930
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",100319
"POLS","Political Science","PT","FT3","PT.FT3",80000
"FINH","Fine Arts - History","PT","FT3","PT.FT3",61990
"CEUS","Central Eurasian Studies","PR","FT1","PR.FT1",95490
"HIST","History","PC","FT2","PC.FT2",86323
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",79272
"LING","Linguistics","PC","FT2","PC.FT2",78243
"HIST","History","PC","FT2","PC.FT2",67810
"CHEM","Chemistry","PR","DST","PR.DST",248045
"SLIS","Library & Information Science","PC","FT2","PC.FT2",102904
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",69211
"APHS","Applied Health Science","PC","FT2","PC.FT2",83640
"ECON","Economics","PT","FT3","PT.FT3",115341
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",75314
"CHEM","Chemistry","PR","FT1","PR.FT1",145723
"THTR","Theatre & Drama","PC","FT2","PC.FT2",67858
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",182500
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",95492
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",61200
"GEOL","Geological Sciences","PR","FT1","PR.FT1",130832
"MUIN","Instrument Applied Music","PR","NDW","PR.NDW",104091
"PL","Philosophy","PR","NDW","PR.NDW",126659
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",104599
"SOC","Sociology","PR","FT1","PR.FT1",101786
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",82354
"GEOL","Geological Sciences","PT","FT3","PT.FT3",73128
"SLIS","Library & Information Science","PC","FT2","PC.FT2",95331
"HIST","History","PR","FT1","PR.FT1",96164
"FOLK","Dept Folklore/Ethnomusicology","PR","FT1","PR.FT1",74818
"CMCL","Communication & Culture","PT","FT3","PT.FT3",57120
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",114240
"APHS","Applied Health Science","PC","FT2","PC.FT2",94551
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",239000
"ENG","English","PR","FT1","PR.FT1",122885
"CRIN","Curriculum & Instruction","PT","FT3","PT.FT3",63750
"INFO","Informatics","PC","FT2","PC.FT2",86747
"CSCI","Computer Science","PC","FT2","PC.FT2",114000
"ECON","Economics","PC","FT2","PC.FT2",172500
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",72972
"PHYS","Physics","PR","FT1","PR.FT1",109952
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",184100
"GEOG","Geography","PR","FT1","PR.FT1",104246
"FINH","Fine Arts - History","PR","FT1","PR.FT1",84126
"POLS","Political Science","PC","FT2","PC.FT2",75141
"JOUR","Journalism","PC","FT2","PC.FT2",81984
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",80539
"RPAD","Recreation,Park&Tourism Studie","PT","FT3","PT.FT3",68196
"ENG","English","PR","FT1","PR.FT1",104916
"ENG","English","PR","FT1","PR.FT1",117203
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",69185
"THTR","Theatre & Drama","PC","FT2","PC.FT2",63954
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",103674
"PHYS","Physics","PR","FT1","PR.FT1",137860
"SLIS","Library & Information Science","PC","FT2","PC.FT2",103725
"GEOG","Geography","PT","FT3","PT.FT3",68000
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",189400
"HIST","History","PC","FT2","PC.FT2",65760
"KINE","Kinesiology","PR","FT1","PR.FT1",120095
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",147655
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",169400
"MATH","Mathematics","PR","FT1","PR.FT1",144970
"MGMT","Dept Mangement & Entrep","PT","FT3","PT.FT3",129500
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",214700
"INFO","Informatics","PC","FT2","PC.FT2",105495
"MUST","Music School-String Technology","PR","NDW","PR.NDW",168518
"ENG","English","PC","FT2","PC.FT2",110136
"CRIN","Curriculum & Instruction","PR","FT1","PR.FT1",93587
"CHEM","Chemistry","PC","FT2","PC.FT2",107000
"APHS","Applied Health Science","PC","FT2","PC.FT2",92531
"MUHI","Music School-Musicology","PC","FT2","PC.FT2",62017
"SPHS","Speech & Hearing Sciences","PR","FT1","PR.FT1",116486
"GEOL","Geological Sciences","PT","FT3","PT.FT3",71000
"SPHS","Speech & Hearing Sciences","PT","FT3","PT.FT3",77103
"FOLK","Dept Folklore/Ethnomusicology","PC","FT2","PC.FT2",71319
"CSCI","Computer Science","PT","FT3","PT.FT3",96228
"LING","Linguistics","PR","FT1","PR.FT1",158642
"AMST","American Studies","PC","FT2","PC.FT2",76629
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",100565
"KINE","Kinesiology","PC","FT2","PC.FT2",86708
"SLS","Second Language Studies","PT","FT3","PT.FT3",60000
"CSCI","Computer Science","PR","FT1","PR.FT1",156446
"ANTH","Anthropology","PC","FT2","PC.FT2",77554
"AST","Astronomy","PR","FT1","PR.FT1",143635
"INFO","Informatics","PR","FT1","PR.FT1",160000
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",150700
"MUST","Music School-String Technology","PR","NDW","PR.NDW",143016
"BI","Biology","PR","FT1","PR.FT1",123106
"REL","Religious Studies","PC","FT2","PC.FT2",80000
"GERM","Germanic Studies","PR","FT1","PR.FT1",113623
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",75173
"POLS","Political Science","PR","NDW","PR.NDW",188280
"ENG","English","PC","FT2","PC.FT2",73666
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",104228
"MUST","Music School-String Technology","PR","FT1","PR.FT1",106311
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",91347
"THTR","Theatre & Drama","PT","FT3","PT.FT3",61090
"MATH","Mathematics","PR","FT1","PR.FT1",88094
"SPHS","Speech & Hearing Sciences","PC","FT2","PC.FT2",94656
"CMCL","Communication & Culture","PC","FT2","PC.FT2",69758
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",208400
"ENG","English","PT","FT3","PT.FT3",62242
"SPHS","Speech & Hearing Sciences","PR","FT1","PR.FT1",128705
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",86414
"ANTH","Anthropology","PC","FT2","PC.FT2",82702
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",151200
"PHYS","Physics","PR","FT1","PR.FT1",172237
"ECON","Economics","PR","FT1","PR.FT1",190014
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",73856
"MUHI","Music School-Musicology","PC","FT2","PC.FT2",72008
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",226100
"TELC","Telecommunications","PT","FT3","PT.FT3",71408
"THTR","Theatre & Drama","PT","FT3","PT.FT3",58876
"CMCL","Communication & Culture","PC","FT2","PC.FT2",87158
"APHS","Applied Health Science","PR","FT1","PR.FT1",179673
"BI","Biology","PR","FT1","PR.FT1",104123
"ECON","Economics","PT","FT3","PT.FT3",113285
"OPT","Optometry","PR","FT1","PR.FT1",97663
"PHYS","Physics","PR","DST","PR.DST",134500
"HIST","History","PR","NDW","PR.NDW",146639
"TELC","Telecommunications","PR","FT1","PR.FT1",114238
"FINH","Fine Arts - History","PT","FT3","PT.FT3",60057
"FRIT","French and Italian","PC","FT2","PC.FT2",62907
"CMCL","Communication & Culture","PC","FT2","PC.FT2",84000
"ENG","English","PC","FT2","PC.FT2",68450
"AFRO","Afro-American Studies","PR","FT1","PR.FT1",117669
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",162070
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",108707
"ECON","Economics","PT","FT3","PT.FT3",104870
"CSCI","Computer Science","PC","FT2","PC.FT2",113798
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",222800
"REL","Religious Studies","PR","FT1","PR.FT1",126300
"CRIN","Curriculum & Instruction","PT","FT3","PT.FT3",69246
