"Org","OrgName","Cla","Pos","ClaPos","Salary"
"CRIN","Curriculum & Instruction","PC","FT2","PC.FT2",71399
"ECON","Economics","PR","NDW","PR.NDW",250230
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",137400
"SPHS","Speech & Hearing Sciences","PT","FT3","PT.FT3",82248
"TELC","Telecommunications","PC","FT2","PC.FT2",72341
"GEOL","Geological Sciences","PR","FT1","PR.FT1",128953
"LGED","Language Education","PC","FT2","PC.FT2",77754
"OADT","Business Operations & Decision Technolog","PT","FT3","PT.FT3",150100
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",91386
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",76875
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",123492
"HIST","History","PT","FT3","PT.FT3",67040
"BLAN","Dept of Business Law & Ethics","PT","FT3","PT.FT3",113200
"SOC","Sociology","PR","DST","PR.DST",162956
"CHEM","Chemistry","PR","NDW","PR.NDW",151913
"CMCL","Communication & Culture","PC","FT2","PC.FT2",78231
"BI","Biology","PT","FT3","PT.FT3",76939
"ANTH","Anthropology","PR","FT1","PR.FT1",88913
"RPAD","Recreation,Park&Tourism Studie","PT","FT3","PT.FT3",75271
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",96600
"AST","Astronomy","PR","NDW","PR.NDW",206702
"MATH","Mathematics","PR","FT1","PR.FT1",97808
"MATH","Mathematics","PR","FT1","PR.FT1",107705
"SPEA","Public & Environmental Affairs","PR","NDW","PR.NDW",143910
"THTR","Theatre & Drama","PC","FT2","PC.FT2",70824
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",187697
"INFO","Informatics","PR","FT1","PR.FT1",151402
"CHEM","Chemistry","PR","NDW","PR.NDW",162685
"GEOL","Geological Sciences","PR","FT1","PR.FT1",86175
"BI","Biology","PT","FT3","PT.FT3",78755
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",220000
"OPT","Optometry","PT","FT3","PT.FT3",76343
"TELC","Telecommunications","PC","FT2","PC.FT2",81921
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",110135
"SOC","Sociology","PR","NDW","PR.NDW",144000
"CMCL","Communication & Culture","PT","FT3","PT.FT3",61000
"LGED","Language Education","PC","FT2","PC.FT2",72464
"ACTG","School of Business Accounting Department","PR","NDW","PR.NDW",237100
"BLAN","Dept of Business Law & Ethics","PC","FT2","PC.FT2",117600
"MUIN","Instrument Applied Music","PR","DST","PR.DST",170007
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",75988
"BEPP","School of Business Economics & Public","PC","FT2","PC.FT2",151600
"CSCI","Computer Science","PR","FT1","PR.FT1",113952
"ECON","Economics","PC","FT2","PC.FT2",172000
"ANTH","Anthropology","PR","FT1","PR.FT1",89588
"PHYS","Physics","PR","FT1","PR.FT1",170445
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",148000
"CSCI","Computer Science","PC","FT2","PC.FT2",114036
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",82020
"CHEM","Chemistry","PR","FT1","PR.FT1",213716
"KINE","Kinesiology","PR","FT1","PR.FT1",118586
"GEOG","Geography","PC","FT2","PC.FT2",78540
"MATH","Mathematics","PT","FT3","PT.FT3",82000
"RPAD","Recreation,Park&Tourism Studie","PT","FT3","PT.FT3",67779
"CSCI","Computer Science","PR","FT1","PR.FT1",128295
"GERM","Germanic Studies","PR","FT1","PR.FT1",105985
"POLS","Political Science","PR","FT1","PR.FT1",118467
"BEPP","School of Business Economics & Public","PR","NDW","PR.NDW",174900
"BEPP","School of Business Economics & Public","PC","FT2","PC.FT2",140200
"CEUS","Central Eurasian Studies","PR","FT1","PR.FT1",138010
"CSCI","Computer Science","PC","FT2","PC.FT2",75639
"JOUR","Journalism","PR","FT1","PR.FT1",90238
"BLAN","Dept of Business Law & Ethics","PT","FT3","PT.FT3",98600
"POLS","Political Science","PC","FT2","PC.FT2",82024
"FOLK","Dept Folklore/Ethnomusicology","PC","FT2","PC.FT2",69919
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",155400
"ACTG","School of Business Accounting Department","PC","FT2","PC.FT2",198000
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",71921
"FINH","Fine Arts - History","PC","FT2","PC.FT2",74363
"CHEM","Chemistry","PR","FT1","PR.FT1",195449
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",92925
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",127355
"BI","Biology","PC","FT2","PC.FT2",81000
"AST","Astronomy","PC","FT2","PC.FT2",79010
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",139719
"FINS","Fine Arts Studio","PT","FT3","PT.FT3",62968
"BI","Biology","PR","DST","PR.DST",166072
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",137615
"GEOL","Geological Sciences","PR","FT1","PR.FT1",123984
"SPAN","Spanish & Portuguese","PT","FT3","PT.FT3",62500
"SLIS","Library & Information Science","PC","FT2","PC.FT2",93945
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",101031
"GEOG","Geography","PR","FT1","PR.FT1",123956
"HIST","History","PR","FT1","PR.FT1",97693
"EALC","East Asian Langs & Cultures","PR","FT1","PR.FT1",101001
"STAT","Statistics","PT","FT3","PT.FT3",77791
"INFO","Informatics","PR","FT1","PR.FT1",137204
"SOC","Sociology","PC","FT2","PC.FT2",82443
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",111073
"HIST","History","PC","FT2","PC.FT2",70000
"AFRO","Afro-American Studies","PR","FT1","PR.FT1",86417
"RPAD","Recreation,Park&Tourism Studie","PR","FT1","PR.FT1",124365
"ELPS","Leadership & Policy Studies","PR","FT1","PR.FT1",122261
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",99972
"FRIT","French and Italian","PC","FT2","PC.FT2",69532
"BI","Biology","PC","FT2","PC.FT2",96054
"GEOG","Geography","PT","FT3","PT.FT3",75772
"EALC","East Asian Langs & Cultures","PR","FT1","PR.FT1",127425
"ELPS","Leadership & Policy Studies","PT","FT3","PT.FT3",71750
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",77056
"PSY","Psychological & Brain Sciences","PT","FT3","PT.FT3",77077
"INFO","Informatics","PT","FT3","PT.FT3",82056
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",117010
"HIST","History","PT","FT3","PT.FT3",71540
"KINE","Kinesiology","PC","FT2","PC.FT2",89573
"FINH","Fine Arts - History","PT","FT3","PT.FT3",65500
"ENG","English","PC","FT2","PC.FT2",76497
"MUTH","Music Theory","PC","FT2","PC.FT2",72045
"LGED","Language Education","PT","FT3","PT.FT3",62648
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",148000
"HIST","History","PR","FT1","PR.FT1",106598
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",90610
"EALC","East Asian Langs & Cultures","PC","FT2","PC.FT2",77703
"SPAN","Spanish & Portuguese","PR","FT1","PR.FT1",97485
"CRIN","Curriculum & Instruction","PT","FT3","PT.FT3",64871
"POLS","Political Science","PR","FT1","PR.FT1",146998
"ANTH","Anthropology","PR","FT1","PR.FT1",94143
"GEOL","Geological Sciences","PR","FT1","PR.FT1",104387
"ENG","English","PR","NDW","PR.NDW",97659
"HIST","History","PT","FT3","PT.FT3",65740
"PL","Philosophy","PR","FT1","PR.FT1",112570
"HIST","History","PR","FT1","PR.FT1",112030
"ANTH","Anthropology","PC","FT2","PC.FT2",74253
"REL","Religious Studies","PC","FT2","PC.FT2",75000
"FOLK","Dept Folklore/Ethnomusicology","PC","FT2","PC.FT2",63767
"FINH","Fine Arts - History","PT","FT3","PT.FT3",60890
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",149500
"AMST","American Studies","PC","FT2","PC.FT2",76875
"CMCL","Communication & Culture","PC","FT2","PC.FT2",75267
"CEUS","Central Eurasian Studies","PC","FT2","PC.FT2",65381
"AMST","American Studies","PC","FT2","PC.FT2",74584
"MGMT","Dept Mangement & Entrep","PC","FT2","PC.FT2",166900
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",109891
"APHS","Applied Health Science","PC","FT2","PC.FT2",98201
"ANTH","Anthropology","PR","FT1","PR.FT1",190674
"PHYS","Physics","PT","FT3","PT.FT3",76836
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",82133
"PHYS","Physics","PC","FT2","PC.FT2",99494
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",218000
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",101354
"MATH","Mathematics","PC","FT2","PC.FT2",76137
"BLAN","Dept of Business Law & Ethics","PT","FT3","PT.FT3",111000
"CEUS","Central Eurasian Studies","PR","FT1","PR.FT1",112225
"CSCI","Computer Science","PT","FT3","PT.FT3",95950
"PL","Philosophy","PT","FT3","PT.FT3",60555
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",107422
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",110109
"BI","Biology","PC","FT2","PC.FT2",83379
"KINE","Kinesiology","PR","FT1","PR.FT1",150884
"ACTG","School of Business Accounting Department","PT","FT3","PT.FT3",181200
"MGMT","Dept Mangement & Entrep","PR","NDW","PR.NDW",234800
"PHYS","Physics","PC","FT2","PC.FT2",95000
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",308228
"SLS","Second Language Studies","PT","FT3","PT.FT3",58791
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",187300
"SPHS","Speech & Hearing Sciences","PC","FT2","PC.FT2",102841
"HIST","History","PC","FT2","PC.FT2",72838
"FOLK","Dept Folklore/Ethnomusicology","PC","FT2","PC.FT2",72962
"REL","Religious Studies","PC","FT2","PC.FT2",73920
"INFO","Informatics","PR","FT1","PR.FT1",138794
"CSCI","Computer Science","PC","FT2","PC.FT2",115000
"INFO","Informatics","PC","FT2","PC.FT2",115000
"CEUS","Central Eurasian Studies","PR","NDW","PR.NDW",78629
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",157003
"SPEA","Public & Environmental Affairs","PC","FT2","PC.FT2",119961
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",169912
"CMCL","Communication & Culture","PC","FT2","PC.FT2",79360
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",97284
"POLS","Political Science","PC","FT2","PC.FT2",85000
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",98581
"CHEM","Chemistry","PT","FT3","PT.FT3",90000
"MKTG","School of Business Marketing Department","PC","FT2","PC.FT2",182500
"MUHI","Music School-Musicology","PC","FT2","PC.FT2",62010
"CHEM","Chemistry","PC","FT2","PC.FT2",120000
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",211827
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",68076
"APHS","Applied Health Science","PC","FT2","PC.FT2",104145
"POLS","Political Science","PC","FT2","PC.FT2",88006
"CHEM","Chemistry","PT","FT3","PT.FT3",80000
"AMST","American Studies","PC","FT2","PC.FT2",74938
"MATH","Mathematics","PT","FT3","PT.FT3",86627
"BI","Biology","PT","FT3","PT.FT3",76885
"PHYS","Physics","PR","FT1","PR.FT1",172753
"MATH","Mathematics","PR","FT1","PR.FT1",89234
"OADT","Business Operations & Decision Technolog","PC","FT2","PC.FT2",169100
"HIST","History","PC","FT2","PC.FT2",88009
"POLS","Political Science","PC","FT2","PC.FT2",72254
"CEUS","Central Eurasian Studies","PC","FT2","PC.FT2",94509
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",89020
"PSY","Psychological & Brain Sciences","PR","NDW","PR.NDW",150000
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",207700
"GERM","Germanic Studies","PR","NDW","PR.NDW",86720
"OPT","Optometry","PC","FT2","PC.FT2",79945
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",208100
"AFRO","Afro-American Studies","PR","FT1","PR.FT1",114972
"KINE","Kinesiology","PC","FT2","PC.FT2",88912
"SOC","Sociology","PC","FT2","PC.FT2",86883
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",72648
"FRIT","French and Italian","PR","FT1","PR.FT1",159133
"ANTH","Anthropology","PC","FT2","PC.FT2",73362
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",124700
"MATH","Mathematics","PR","FT1","PR.FT1",105671
"SPEA","Public & Environmental Affairs","PR","FT1","PR.FT1",153000
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",82026
"ANTH","Anthropology","PR","FT1","PR.FT1",81552
"BFIN","School of Business Finance Department","PT","FT3","PT.FT3",192100
"FRIT","French and Italian","PR","FT1","PR.FT1",105820
"MATH","Mathematics","PC","FT2","PC.FT2",99546
"PHYS","Physics","PT","FT3","PT.FT3",77000
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",71395
"SLS","Second Language Studies","PC","FT2","PC.FT2",67812
"CMCL","Communication & Culture","PC","FT2","PC.FT2",78164
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",96530
"MUST","Music School-String Technology","PR","FT1","PR.FT1",141656
"EALC","East Asian Langs & Cultures","PT","FT3","PT.FT3",64703
"SLIS","Library & Information Science","PT","FT3","PT.FT3",91290
"BI","Biology","PC","FT2","PC.FT2",60674
"ANTH","Anthropology","PC","FT2","PC.FT2",74000
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",76011
"EALC","East Asian Langs & Cultures","PC","FT2","PC.FT2",70067
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",69365
"OPT","Optometry","PR","FT1","PR.FT1",107108
"CSCI","Computer Science","PC","FT2","PC.FT2",133896
"HIST","History","PT","FT3","PT.FT3",62256
"THTR","Theatre & Drama","PC","FT2","PC.FT2",76267
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",64920
"CHEM","Chemistry","PT","FT3","PT.FT3",84302
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",151700
"CSCI","Computer Science","PC","FT2","PC.FT2",114453
"BI","Biology","PC","FT2","PC.FT2",81898
"MUIN","Instrument Applied Music","PC","FT2","PC.FT2",71449
"PHYS","Physics","PC","FT2","PC.FT2",92411
"SOC","Sociology","PT","FT3","PT.FT3",72876
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",81000
"MGMT","Dept Mangement & Entrep","PT","FT3","PT.FT3",135200
"CMCL","Communication & Culture","PC","FT2","PC.FT2",76786
"CHEM","Chemistry","PT","FT3","PT.FT3",79981
"SOC","Sociology","PR","NDW","PR.NDW",183831
"POLS","Political Science","PR","DST","PR.DST",195161
"MATH","Mathematics","PC","FT2","PC.FT2",110834
"BFIN","School of Business Finance Department","PT","FT3","PT.FT3",207000
"CSCI","Computer Science","PT","FT3","PT.FT3",92500
"ANTH","Anthropology","PR","FT1","PR.FT1",106608
"MATH","Mathematics","PR","NDW","PR.NDW",206051
"PSY","Psychological & Brain Sciences","PR","DST","PR.DST",143437
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",82847
"SPEA","Public & Environmental Affairs","PT","FT3","PT.FT3",112270
"LING","Linguistics","PR","FT1","PR.FT1",91246
"BFIN","School of Business Finance Department","PR","NDW","PR.NDW",206900
"CMLT","Comparative Literature","PT","FT3","PT.FT3",61096
"GERM","Germanic Studies","PC","FT2","PC.FT2",68310
"BFIN","School of Business Finance Department","PR","FT1","PR.FT1",256600
"ENG","English","PR","FT1","PR.FT1",130000
"PHYS","Physics","PR","FT1","PR.FT1",118907
"FRIT","French and Italian","PT","FT3","PT.FT3",63898
"CMLT","Comparative Literature","PT","FT3","PT.FT3",65008
"CSCI","Computer Science","PR","FT1","PR.FT1",124983
"PHYS","Physics","PR","FT1","PR.FT1",147360
"CHEM","Chemistry","PC","FT2","PC.FT2",120596
"FINH","Fine Arts - History","PC","FT2","PC.FT2",66839
"FRIT","French and Italian","PC","FT2","PC.FT2",58276
"MUVO","Music-Voice Department","PR","FT1","PR.FT1",140653
"ENG","English","PT","FT3","PT.FT3",66372
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",61666
"AST","Astronomy","PT","FT3","PT.FT3",68752
"INFO","Informatics","PR","NDW","PR.NDW",154000
"SPAN","Spanish & Portuguese","PT","FT3","PT.FT3",60940
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",91171
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",69117
"FRIT","French and Italian","PR","FT1","PR.FT1",120297
"ANTH","Anthropology","PR","FT1","PR.FT1",110000
"BI","Biology","PR","DST","PR.DST",180489
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",228500
"HIST","History","PR","FT1","PR.FT1",128778
"CEDP","Counseling & Educational Psy","PT","FT3","PT.FT3",63885
"ECON","Economics","PR","FT1","PR.FT1",206947
"ECON","Economics","PC","FT2","PC.FT2",154000
"KINE","Kinesiology","PR","FT1","PR.FT1",115762
"CMCL","Communication & Culture","PR","FT1","PR.FT1",125013
"SLIS","Library & Information Science","PC","FT2","PC.FT2",100691
"KINE","Kinesiology","PT","FT3","PT.FT3",65376
"MUIN","Instrument Applied Music","PR","FT1","PR.FT1",81161
"MKTG","School of Business Marketing Department","PR","FT1","PR.FT1",152600
"ELPS","Leadership & Policy Studies","PC","FT2","PC.FT2",71870
"MATH","Mathematics","PR","FT1","PR.FT1",114500
"CSCI","Computer Science","PC","FT2","PC.FT2",119497
"BFIN","School of Business Finance Department","PR","FT1","PR.FT1",278100
"PSY","Psychological & Brain Sciences","PR","NDW","PR.NDW",214979
"GEOL","Geological Sciences","PT","FT3","PT.FT3",70719
"TELC","Telecommunications","PR","FT1","PR.FT1",105375
"LAWS","Maurer School of Law","PR","FT1","PR.FT1",151500
"ENG","English","PR","FT1","PR.FT1",145434
"MUIN","Instrument Applied Music","PR","NDW","PR.NDW",130526
"TELC","Telecommunications","PT","FT3","PT.FT3",69649
"MATH","Mathematics","PR","FT1","PR.FT1",99368
"SOC","Sociology","PR","FT1","PR.FT1",113874
"PL","Philosophy","PR","FT1","PR.FT1",114243
"GERM","Germanic Studies","PR","FT1","PR.FT1",91363
"FINS","Fine Arts Studio","PC","FT2","PC.FT2",67971
"SPAN","Spanish & Portuguese","PT","FT3","PT.FT3",59507
"THTR","Theatre & Drama","PT","FT3","PT.FT3",57500
"PSY","Psychological & Brain Sciences","PR","FT1","PR.FT1",86231
"AFRO","Afro-American Studies","PC","FT2","PC.FT2",80000
"MATH","Mathematics","PC","FT2","PC.FT2",71834
"CEDP","Counseling & Educational Psy","PR","FT1","PR.FT1",116264
"MGMT","Dept Mangement & Entrep","PT","FT3","PT.FT3",135300
"LAWS","Maurer School of Law","PC","FT2","PC.FT2",149500
"CHEM","Chemistry","PR","FT1","PR.FT1",167105
"INFO","Informatics","PC","FT2","PC.FT2",105654
"BEPP","School of Business Economics & Public","PC","FT2","PC.FT2",135000
"ANTH","Anthropology","PR","NDW","PR.NDW",116520
"KINE","Kinesiology","PT","FT3","PT.FT3",66289
"ECON","Economics","PR","FT1","PR.FT1",145638
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",187250
"CHEM","Chemistry","PR","NDW","PR.NDW",206350
"AFRO","Afro-American Studies","PC","FT2","PC.FT2",87500
"LAWS","Maurer School of Law","PR","NDW","PR.NDW",187250
"AFRO","Afro-American Studies","PR","FT1","PR.FT1",107031
"SPAN","Spanish & Portuguese","PC","FT2","PC.FT2",72024
"JOUR","Journalism","PR","FT1","PR.FT1",108160
"BI","Biology","PR","FT1","PR.FT1",142463
"OADT","Business Operations & Decision Technolog","PR","NDW","PR.NDW",190800
"GEOL","Geological Sciences","PR","FT1","PR.FT1",102040
"PHYS","Physics","PR","FT1","PR.FT1",103000
"SPHS","Speech & Hearing Sciences","PC","FT2","PC.FT2",83086
"LGED","Language Education","PC","FT2","PC.FT2",72921
"FINS","Fine Arts Studio","PR","NDW","PR.NDW",136009
"CEDP","Counseling & Educational Psy","PC","FT2","PC.FT2",74618
"PL","Philosophy","PR","NDW","PR.NDW",196987
"PL","Philosophy","PR","FT1","PR.FT1",67724
"POLS","Political Science","PR","FT1","PR.FT1",150538
"TELC","Telecommunications","PT","FT3","PT.FT3",64500
"HIST","History","PT","FT3","PT.FT3",68648
"CSCI","Computer Science","PC","FT2","PC.FT2",108561
"EALC","East Asian Langs & Cultures","PT","FT3","PT.FT3",60000
"OADT","Business Operations & Decision Technolog","PT","FT3","PT.FT3",147400
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",207500
"JOUR","Journalism","PC","FT2","PC.FT2",96425
"BFIN","School of Business Finance Department","PT","FT3","PT.FT3",198100
"APHS","Applied Health Science","PR","FT1","PR.FT1",166818
"CSCI","Computer Science","PC","FT2","PC.FT2",106723
"SLS","Second Language Studies","PT","FT3","PT.FT3",61240
"ACTG","School of Business Accounting Department","PR","FT1","PR.FT1",212500
"BFIN","School of Business Finance Department","PT","FT3","PT.FT3",202200
"RPAD","Recreation,Park&Tourism Studie","PC","FT2","PC.FT2",91299
"PSY","Psychological & Brain Sciences","PC","FT2","PC.FT2",95504
"BFIN","School of Business Finance Department","PC","FT2","PC.FT2",221000
"CHEM","Chemistry","PT","FT3","PT.FT3",80935
"CHEM","Chemistry","PR","FT1","PR.FT1",129136
"MUHI","Music School-Musicology","PT","FT3","PT.FT3",54501
"BI","Biology","PT","FT3","PT.FT3",76624
"OADT","Business Operations & Decision Technolog","PT","FT3","PT.FT3",147400
"CSCI","Computer Science","PT","FT3","PT.FT3",92500
"PHYS","Physics","PT","FT3","PT.FT3",76748
"GEOL","Geological Sciences","PR","FT1","PR.FT1",105786
"BI","Biology","PR","FT1","PR.FT1",116592
"MUST","Music School-String Technology","PR","FT1","PR.FT1",138022
